,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
Career,,5,,,,0,0,0,,,,,,,Aaron Albritton,,,0,,,,,aaron-albritton-1,,,DL,,,,,,,,,,,,0.0,,Career,1,0.0,Toledo,6,,,,,,0,,,
Career,0.5,,4,,,,,,,,,,3,,Aaron Alexander,,11,,36.4,2,100,9.1,aaron-alexander-1,,18,WR,,118.2,,,,,,,,,,,,Career,,,Michigan State,,3,,,,,,,,
Career,,,,,,,,,,,,,,,Aaron Alexander,,,,,,,,aaron-alexander-2,,6,WR,,,,,,,,,,,,,,Career,,,Bowling Green State,,1,,,,,,,,
Career,,,,,,,,,,,,,,,Aaron Alexander,,,,,,,,aaron-alexander-3,,72,WR,,,,,,,,,,,,,,Career,,,Army,,12,,,,,,,,
Career,,0.0,,,,,,,,,0,0,,,Aaron Bain,,,,,,,,aaron-bain-1,,54,WR,,,,,,,,,,,,0.0,,Career,1.0,0.0,Hawaii,1.0,9,,,,,,0,,
Career,,,,1,1,,,,,,,,,,Aaron Barret,,,,,,,,aaron-barret-1,,4,K,,,,,,,,,,,,,,Career,,,New Mexico,,0,,,,,,,,
Career,,,,,,,,,,,19,3,,,Aaron Beasley,,,,,,,,aaron-beasley-1,,18,DB,0.0,,,,,,,,,,,,,Career,,,West Virginia,,3,,,,,,367,19.3,
Career,,,,,,,,,,,,,,,Aaron Bluitt,,,,,,,,aaron-bluitt-1,21,6,RB,,,0.0,33.0,6.6,5.0,16.0,1.0,36.0,2.3,1,,,Career,,,Houston,,1,,,69,3.3,,,,
Career,,,,,,,,,,,,,,,Aaron Boone,,,,,,,,aaron-boone-1,,96,WR,,,,,,,,,,,,,,Career,,,Kentucky,,16,,,,,,,,
Career,,0,,,,0.0,0.0,0.0,,,0,0,,,Aaron Brant,,,0.0,,,,,aaron-brant-1,,,OL,,,,,,,,,,,,0.0,,Career,3,0.0,Iowa State,3,,,,,,0.0,0,,
Career,7.2,,357,,,,,,,,,,24,,Aaron Brooks,,651,,54.8,33,5118,7.9,aaron-brooks-1,200,84,QB,,130.2,0.0,-11.0,-11.0,1.0,199.0,14.0,547.0,2.7,14,,,Career,,,Virginia,,14,,,536,2.7,,,,
