,adjusted_net_yards_per_attempt_index,adjusted_net_yards_per_pass_attempt,adjusted_yards_per_attempt,adjusted_yards_per_attempt_index,all_purpose_yards,approximate_value,assists_on_tackles,attempted_passes,birth_date,blocked_punts,catch_percentage,completed_passes,completion_percentage_index,espn_qbr,extra_point_percentage,extra_points_attempted,extra_points_made,field_goal_percentage,field_goals_attempted,field_goals_made,fifty_plus_yard_field_goal_attempts,fifty_plus_yard_field_goals_made,fourth_quarter_comebacks,fourty_to_fourty_nine_yard_field_goal_attempts,fourty_to_fourty_nine_yard_field_goals_made,fumbles,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,game_winning_drives,games,games_started,height,interception_percentage,interception_percentage_index,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdown,kickoff_return_yards,kickoff_returns,less_than_nineteen_yards_field_goal_attempts,less_than_nineteen_yards_field_goals_made,longest_field_goal_made,longest_interception_return,longest_kickoff_return,longest_pass,longest_punt,longest_punt_return,longest_reception,longest_rush,name,net_yards_per_attempt_index,net_yards_per_pass_attempt,passer_rating_index,passes_defended,passing_completion,passing_touchdown_percentage,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,position,punt_return_touchdown,punt_return_yards,punt_returns,punts,qb_record,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_game,receiving_yards_per_reception,receptions,receptions_per_game,rush_attempts,rush_attempts_per_game,rush_touchdowns,rush_yards,rush_yards_per_attempt,rush_yards_per_game,rushing_and_receiving_touchdowns,sack_percentage,sack_percentage_index,sacks,safeties,season,tackles,team_abbreviation,thirty_to_thirty_nine_yard_field_goal_attempts,thirty_to_thirty_nine_yard_field_goals_made,times_pass_target,times_sacked,total_punt_yards,touchdown_percentage_index,touches,twenty_to_twenty_nine_yard_field_goal_attempts,twenty_to_twenty_nine_yard_field_goals_made,weight,yards_from_scrimmage,yards_lost_to_sacks,yards_per_attempt_index,yards_per_completed_pass,yards_per_game_played,yards_per_kickoff_return,yards_per_punt,yards_per_punt_return,yards_per_touch,yards_recovered_from_fumble,yards_returned_from_interception
Career,,,,,215.0,1.0,1.0,,1990-12-17,,52.0,,,,,,,,,,,,,,,1,1.0,0.0,0.0,,21.0,,6-1,,,,,,0.0,52.0,2.0,,,,,30.0,,,,32,,Jared Abbrederis,,,,,,,,,,AbbrJa00,,,,,,,,0,163,7.8,12.5,13,0.6,,,,,,,0,,,0.0,,Career,1.0,,,,25.0,,,,13,,,195,163,,,,,26.0,,,12.5,0.0,
Career,,,,,,0.0,0.0,,1991-09-28,,,,,,,,,,,,,,,,,,,,,,2.0,,6-6,,,,,,,,,,,,,,,,,,,Mehdi Abdesmad,,,,,,,,,,AbdeMe00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,1.0,,,,,,,,,,,284,,,,,,,,,,,
Career,,,,,3830.0,13.0,0.0,,1993-06-13,,70.9,,,,,,,,,,,,,,,9,0.0,2.0,0.0,,58.0,22.0,5-9,,,,,,0.0,1946.0,72.0,,,,,104.0,,,,36,36,Ameer Abdullah,,,,,,,,,,AbduAm00,,,,,,,,4,518,8.9,7.1,73,1.3,350,6.0,6,1366,3.9,23.6,10,,,0.0,,Career,1.0,,,,103,,,,423,,,203,1884,,,,,27.0,,,4.5,0.0,
Career,,,,,,5.0,20.0,,1983-08-20,,,,,,,,,,,,,,,,,0.0,3.0,1.0,0.0,,48.0,8.0,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Hamza Abdullah,,,,5.0,,,,,,AbduHa20,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,68.0,,,,,,,,,,,216,,,,,,,,,,0.0,0.0
Career,,,,,,21.0,57.0,,1985-07-27,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,97.0,46.0,6-0,,,6.0,2.0,,,,,,,,44.0,,,,,,,Husain Abdullah,,,,26.0,,,,,,AbduHu99,,,,,,,,,,,,,,,,,,,,,,,2.5,,Career,231.0,,,,,,,,,,,204,,,,,,,,,,0.0,120.0
Career,,,,,,15.0,69.0,,1989-08-03,,100.0,,,,,,,,,,,,,,,0.0,4.0,1.0,0.0,,89.0,31.0,6-1,,,4,0,,,,,,,,12,,,,,3.0,30.0,Isa Abdul-Quddus,,,,23,,,,,,AbduIs00,,,,,,,,0.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,34.0,17.0,0.4,0.0,,,2.0,,Career,173.0,,,,1.0,,,,3.0,,,200,37.0,,,,,,,,12.3,0.0,28
Career,,,,,5.0,5.0,12.0,,1986-01-14,,,,,,,,,,,,,,,,,0.0,2.0,2.0,2.0,,29.0,6.0,6-4,,,0.0,0.0,,0.0,3.0,1.0,,,,0.0,3.0,,,,,,Victor Abiamiri,,,,4.0,,,,,,AbiaVi99,,,,,,,,,,,,,,,,,,,,,,,4.0,,Career,22.0,,,,,,,,,,,267,,,,,,3.0,,,,2.0,0.0
Career,,,,,,14.0,,,1991-06-05,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,49.0,34.0,6-5,,,,,,,,,,,,,,,,,,,Oday Aboushi,,,,,,,,,,AbouOd00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,,,,,,,,,,,,315,,,,,,,,,,0.0,
Career,,,,,,117.0,97.0,,1978-05-06,,,,,,,,,,,,,,,,,0.0,47.0,6.0,7.0,,192.0,175.0,6-4,,,1.0,0.0,,,,,,,,6.0,,,,,,,John Abraham,,,,30.0,,,,,,AbraJo00,,,,,,,,,,,,,,,,,,,,,,,133.5,1.0,Career,463.0,,,,,,,,,,,263,,,,,,,,,,7.0,6.0
Career,,,,,,2.0,11.0,,1990-11-10,,,,,,,,,,,,,,,,,,,,,,20.0,2.0,6-1,,,,,,,,,,,,,,,,,,,Emmanuel Acho,,,,,,,,,,AchoEm00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,22.0,,,,,,,,,,,238,,,,,,,,,,,
Career,,,,,9.0,34.0,63,,1988-09-06,,,,,,,,,,,,,,,,,0.0,11.0,3.0,1.0,,110.0,57.0,6-3,,,3.0,0.0,,0.0,3.0,1.0,,,,3.0,3.0,,,,,,Sam Acho,,,,11.0,,,,,,AchoSa00,,,,,,,,,,,,,,,,,,,,,,,18.0,,Career,177,,,,,,,,,,,259,,,,,,3.0,,,,1.0,5.0
Career,,,,,,7.0,13.0,,1992-02-06,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,40.0,15.0,6-0,,,4.0,0.0,,,,,,,,45.0,,,,,,,Kenneth Acker,,,,12.0,,,,,,AckeKe00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,92.0,,,,,,,,,,,195,,,,,,,,,,0.0,54.0
Career,,,,,,13.0,28,,1992-10-28,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,,57.0,32.0,5-11,,,6,0,,,,,,,,21,,,,,,,Andrew Adams,,,,19,,,,,,AdamAn00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,135,,,,,,,,,,,200,,,,,,,,,,0.0,74
Career,,,,,,37.0,64,,1980-06-18,,,,,,,,,,,,,,,,,0.0,3.0,3.0,3.0,,121.0,74.0,6-0,,,0.0,0.0,,,,,,,,0.0,,,,,,,Anthony Adams,,,,10.0,,,,,,AdamAn20,,,,,,,,,,,,,,,,,,,,,,,10.5,,Career,214,,,,,,,,,,,310,,,,,,,,,,3.0,0.0
Career,,,,,,0.0,0,,1990-01-05,,,,,,,,,,,,,,,,,,,,,,2.0,,6-3,,,,,,,,,,,,,,,,,,,Darvin Adams,,,,,,,,,,AdamDa00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,1,,,,,,,,,,,185,,,,,,,,,,,
Career,,,,,,46.0,,,1992-12-24,,62.1,,,,,,,,,,,,,,,4,,,,,86.0,79.0,6-1,,,,,,,,,,,,,,,,,66,,Davante Adams,,,,,,,,,,AdamDa01,,,,,,,,44,5194,60.4,12.1,431,5.0,,,,,,,44,,,,,Career,,,,,694,,,,431,,,215,5194,,,,,,,,12.1,,
Career,,,,,,102.0,1.0,,1975-05-18,,,,,,,,,,,,,,,,,0.0,0.0,10.0,0.0,,198.0,194.0,6-7,,,,,,,,,,,,,,,,,,,Flozell Adams,,,,,,,,,,AdamFl00,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,6.0,,,,,,,,,,,338,,,,,,,,,,0.0,
Career,,,,,,18.0,26,,1983-06-08,,,,,,,,,,,,,,,,,0.0,3.0,1.0,0.0,,47.0,29.0,6-5,,,2,1,,,,,,,,45,,,,,,,Gaines Adams,,,,11,,,,,,AdamGa99,,,,,,,,,,,,,,,,,,,,,,,13.5,,Career,67,,,,,,,,,,,258,,,,,,,,,,0.0,50
Career,,,,,,29.0,63,,1995-10-17,,,,,,,,,,,,,,,,,0,6,4,30,,46.0,46.0,6-1,,,2,1,,,,,,,,61,,,,,,,Jamal Adams,,,,25,,,,,,AdamJa00,,,,,,,,,,,,,,,,,,,,,,,12.0,,Career,210,,,,,,,,,,,213,,,,,,,,,,30,99
Career,,,,,,0.0,2.0,,1985-11-29,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,6-2,,,0.0,0.0,,,,,,,,0.0,,,,,,,Jamar Adams,,,,1.0,,,,,,AdamJa20,,,,,,,,,,,,,,,,,,,,,,,0.0,,Career,5.0,,,,,,,,,,,209,,,,,,,,,,,0.0
Career,,,,,,2.0,1.0,,1992-12-31,,75.0,,,,,,,,,,,,,,,1,0.0,0.0,0.0,,30.0,3.0,6-5,,,,,,,,,,,,,,,,,38,,Jerell Adams,,,,,,,,,,AdamJe01,,,,,,,,1,214,7.1,8.9,24,0.8,,,,,,,1,,,0.0,,Career,3.0,,,,32,,,,24,,,254,214,,,,,,,,8.9,0.0,
Career,,,,,355,0.0,,,1989-11-22,,100.0,,,,,,,,,,,,,,,4,0,1,0,,9.0,,5-11,,,,,,0,208,9,,,,,31,,,21,7,5,Joe Adams,,,,,,,,,,AdamJo01,,0,127,11,,,,0,7,0.8,7.0,1,0.1,3,0.3,0,13,4.3,1.4,0,,,0.0,,Career,,,,,1,,,,4,,,177,20,,,,,23.1,,11.5,5.0,0,
