"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Jaire Alexander",11,29,6.06896551724138,"Career",NA,19,NA,0,0,1,1,NA,NA,"11-May",7,0,NA,0,NA,NA,15,NA,NA,NA,NA,"jaire-alexander-1",NA,6,"CB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",58,2,"Louisville",77,1,NA,192,NA,NA,NA,42,6,NA,NA
"2","Mackensie Alexander",7,55,2.03636363636364,"Career",NA,11,NA,NA,NA,0,1,NA,NA,"11-May",0,0,NA,NA,NA,NA,11,NA,NA,NA,NA,"mackensie-alexander-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",33,4,"Clemson",44,NA,NA,195,NA,NA,NA,0,NA,NA,NA
"3","Ricardo Allen",22,65,5.41538461538462,"Career",NA,50,NA,0,0,2,0,NA,NA,"9-May",13,4,NA,0,NA,NA,11,NA,NA,NA,NA,"ricardo-allen-1",NA,24,"CB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",200,14.5,"Purdue",250,4,NA,186,NA,NA,NA,247,19,NA,NA
"4","Eli Apple",17,55,4.94545454545455,"Career",NA,30,NA,0,0,1,2,1,NA,"1-Jun",4,0,NA,0,0,NA,17,NA,NA,NA,NA,"eli-apple-1",NA,6,"CB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",56,7.5,"Ohio State",86,1,NA,200,NA,NA,4,16,4,NA,NA
"5","Bene Benwikere",11,54,3.25925925925926,"Career",NA,84,NA,0,0,2,1,1,NA,"Jun-00",14,1,NA,0,NA,NA,17,NA,NA,NA,NA,"bene-benwikere-1",NA,12,"CB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",131,11.5,"San Jose State",215,2,NA,192,NA,NA,37,213,15.2,NA,NA
"6","Bashaud Breeland",32,83,6.16867469879518,"Career",NA,35,NA,NA,NA,2,0,0,NA,"Jun-00",6,0,NA,NA,NA,NA,17,NA,NA,NA,NA,"bashaud-breeland-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",101,8.5,"Clemson",136,NA,NA,195,NA,NA,0,142,23.7,NA,NA
"7","Juston Burris",7,52,2.15384615384615,"Career",NA,32,NA,NA,NA,2,1,NA,NA,"1-Jun",3,0,NA,NA,NA,NA,18,NA,NA,NA,NA,"juston-burris-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",89,5,"North Carolina State",121,NA,NA,207,NA,NA,NA,6,2,NA,NA
"8","Bryce Callahan",12,45,4.26666666666667,"Career",NA,29,NA,NA,NA,2,1,NA,NA,"10-May",13,0,NA,NA,NA,NA,25,NA,NA,NA,NA,"bryce-callahan-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,"Career",116,11.5,"Rice",145,NA,NA,185,NA,NA,NA,90,6.9,NA,NA
"9","Maurice Canady",3,32,1.5,"Career",NA,45,NA,0,0,2,0,NA,NA,"2-Jun",5,1,NA,0,NA,NA,26,NA,NA,NA,NA,"maurice-canady-1",NA,12,"CB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",101,6.5,"Virginia",146,2,NA,195,NA,NA,NA,108,21.6,NA,NA
"10","Ross Cockrell",19,68,4.47058823529412,"Career",NA,79,NA,0,0,1,0,1,NA,"Jun-00",12,1,NA,0,NA,NA,28,NA,NA,NA,NA,"ross-cockrell-1",NA,12,"CB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",154,7,"Duke",233,2,NA,190,NA,NA,0,80,6.7,NA,NA
"11","Jalen Collins",3,24,2,"Career",NA,32,NA,NA,NA,0,0,NA,NA,"2-Jun",3,0,NA,NA,NA,NA,11,NA,NA,NA,NA,"jalen-collins-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",58,3,"LSU",90,NA,NA,198,NA,NA,NA,13,4.3,NA,NA
"12","Gareon Conley",9,31,4.64516129032258,"Career",NA,25,NA,NA,NA,0,0,NA,NA,"Jun-00",6,0,NA,NA,NA,NA,15,NA,NA,NA,NA,"gareon-conley-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,"Career",66,1,"Ohio State",91,NA,NA,195,NA,NA,NA,0,0,NA,NA
"13","Dane Cruikshank",2,28,1.14285714285714,"Career",NA,26,NA,NA,NA,1,0,NA,NA,"1-Jun",5,0,NA,NA,NA,NA,12,NA,NA,NA,NA,"dane-cruikshank-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",108,6,"Arizona",134,NA,NA,206,NA,NA,NA,68,13.6,NA,NA
"14","Ronald Darby",22,57,6.17543859649123,"Career",NA,21,NA,NA,NA,2,1,0,NA,"11-May",2,0,NA,NA,NA,NA,16,NA,NA,NA,NA,"ronald-darby-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",57,0.5,"Florida State",78,NA,NA,195,NA,NA,0,16,8,NA,NA
"15","Brian Dawkins",139,224,9.92857142857143,"Career",NA,1,NA,NA,NA,0,0,NA,NA,"7-May",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"brian-dawkins-2",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",0,0,"Clemson",1,NA,NA,170,NA,NA,NA,0,NA,NA,NA
"16","Darqueze Dennard",13,77,2.7012987012987,"Career",NA,61,NA,0,0,3,1,NA,NA,"11-May",10,1,NA,0,NA,NA,13,NA,NA,NA,NA,"darqueze-dennard-1",NA,6,"CB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"Career",104,10,"Michigan State",165,1,0,197,NA,NA,NA,125,12.5,NA,NA
"17","Quandre Diggs",17,70,3.88571428571429,"Career",NA,66,NA,NA,NA,3,1,NA,NA,"10-May",11,0,NA,NA,NA,NA,27,NA,NA,NA,NA,"quandre-diggs-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,"Career",154,14,"Texas",220,NA,NA,195,NA,NA,NA,28,2.5,NA,NA
"18","Lorenzo Doss",0,16,0,"Career",NA,32,NA,0,0,0,1,NA,NA,"11-May",15,2,NA,0,NA,NA,17,NA,NA,NA,NA,"lorenzo-doss-1",NA,12,"CB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",94,6.5,"Tulane",126,2,NA,187,NA,NA,NA,271,18.1,NA,NA
"19","Rasul Douglas",10,46,3.47826086956522,"Career",NA,22,NA,0,0,2,0,NA,NA,"2-Jun",9,1,NA,0,NA,NA,9,NA,NA,NA,NA,"rasul-douglas-1",NA,6,"CB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",55,3.5,"West Virginia",77,1,NA,209,NA,NA,NA,101,11.2,NA,NA
"20","Antone Exum",6,50,1.92,"Career",NA,76,NA,NA,NA,3,1,NA,NA,"1-Jun",6,0,NA,NA,NA,NA,20,NA,NA,NA,NA,"antone-exum-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,"Career",110,8,"Virginia Tech",186,NA,NA,220,NA,NA,NA,80,13.3,NA,NA
"21","Brandon Facyson",3,31,1.54838709677419,"Career",NA,40,NA,NA,NA,3,1,NA,NA,"2-Jun",5,0,NA,NA,NA,NA,39,NA,NA,NA,NA,"brandon-facyson-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",91,9,"Virginia Tech",131,NA,NA,197,NA,NA,NA,0,0,NA,NA
"22","Matthias Farley",8,50,2.56,"2015",NA,14,NA,NA,NA,1,0,NA,12,"11-May",1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"matthias-farley-1",NA,NA,"CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"2015",27,0,"Notre Dame",41,NA,NA,205,NA,NA,NA,0,0,NA,NA
"23","Kendall Fuller",12,55,3.49090909090909,"Career",NA,46,NA,0,0,2,2,NA,NA,"Jun-00",8,1,NA,0,NA,NA,25,NA,NA,NA,NA,"kendall-fuller-1",NA,6,"CB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"Career",73,8,"Virginia Tech",119,1,NA,196,NA,NA,NA,48,6,NA,NA
