"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Hamza Abdullah",5,48,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hamza-abdullah-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Washington State",NA,NA,NA,NA,NA,NA,NA,3,3,NA,"Career"
"2","Husain Abdullah",21,97,3.4639175257732,"Career",NA,80,NA,NA,NA,NA,NA,NA,NA,"",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"husain-abdullah-1",NA,6,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",133,11,"Washington State",213,1,NA,NA,NA,NA,NA,172,17.2,NA,NA
"3","Kenneth Acker",7,40,2.8,"Career",NA,30,NA,0,0,0,0,1,NA,"Jun-00",7,1,NA,0,NA,NA,17,NA,NA,NA,NA,"kenneth-acker-1",NA,12,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",125,4.5,"SMU",155,2,NA,195,NA,NA,0,102,14.6,NA,NA
"4","Anthony Adams",37,121,4.89256198347107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"anthony-adams-1",NA,6,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"East Carolina",NA,1,NA,NA,NA,NA,NA,106,21.2,NA,"Career"
"5","Jahleel Addae",24,96,4,"Career",NA,155,NA,NA,NA,NA,NA,1,NA,"",8,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"jahleel-addae-1",NA,6,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,"Career",147,15,"Central Michigan",302,1,NA,NA,NA,NA,0,74,9.3,NA,NA
"6","Jude Adjei-Barimah",3,23,2.08695652173913,"Career",NA,44,NA,NA,NA,2,0,NA,NA,"11-May",5,0,NA,NA,NA,NA,14,NA,NA,NA,NA,"jude-adjei-barimah-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,"Career",106,8.5,"Bowling Green State",150,NA,NA,200,NA,NA,NA,25,5,NA,NA
"7","Al Afalava",6,29,3.31034482758621,"Career",NA,47,NA,0,0,3,1,1,NA,"",3,1,NA,0,0,NA,3,NA,NA,NA,NA,"al-afalava-1",NA,12,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"Career",120,5.5,"Oregon State",167,2,0,NA,NA,NA,33,52,17.3,NA,NA
"8","Gerald Alexander",11,44,4,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,"",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"gerald-alexander-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",62,3,"Boise State",88,NA,NA,NA,NA,NA,NA,75,8.3,NA,"Career"
"9","Antonio Allen",10,50,3.2,"Career",NA,80,NA,0,0,0,0,1,NA,"",4,2,NA,0,0,NA,0,NA,NA,NA,NA,"antonio-allen-1",NA,18,"DB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,0,"Career",118,20,"South Carolina",198,3,0,NA,NA,NA,25,81,20.3,NA,NA
"10","Asher Allen",9,36,4,"Career",NA,27,NA,NA,NA,NA,NA,NA,NA,"",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"asher-allen-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",114,9,"Georgia",141,NA,NA,NA,NA,NA,NA,4,1.3,NA,NA
