"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Olasunkanmi Adeniyi",1,17,0.941176470588235,"Career",NA,50,NA,NA,NA,3,1,NA,NA,"2-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"olasunkanmi-adeniyi-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,"Career",68,28,"Toledo",118,NA,NA,248,NA,NA,NA,0,NA,NA,NA
"2","Henry Anderson",21,58,5.79310344827586,"2014",NA,25,NA,NA,NA,0,0,NA,13,"6-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"henry-anderson-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"2014",40,14.5,"Stanford",65,NA,NA,287,NA,NA,NA,0,NA,NA,NA
"3","Dorance Armstrong Jr.",4,30,2.13333333333333,"Career",NA,53,NA,NA,NA,6,3,NA,NA,"4-Jun",0,0,NA,NA,NA,NA,8,NA,NA,NA,NA,"dorance-armstrong-jr-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,"Career",89,34.5,"Kansas",142,NA,NA,246,NA,NA,NA,0,NA,NA,NA
"4","Derek Barnett",13,35,5.94285714285714,"Career",NA,67,NA,NA,NA,3,2,NA,NA,"3-Jun",1,0,NA,NA,NA,NA,6,NA,NA,NA,NA,"derek-barnett-2",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,"Career",131,52,"Tennessee",198,NA,NA,265,NA,NA,NA,7,7,NA,NA
"5","Houston Bates",2,24,1.33333333333333,"Career",NA,63,NA,NA,NA,4,3,0,NA,"3-Jun",1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"houston-bates-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,"Career",60,30,"Overall",123,NA,NA,250,NA,NA,0,19,19,NA,NA
"6","Vic Beasley",34,78,6.97435897435897,"Career",NA,16,NA,0,0,7,2,1,NA,"2-Jun",0,0,NA,0,0,NA,7,NA,NA,NA,NA,"vic-beasley-1",NA,6,"DE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,"Career",67,48,"Clemson",83,1,0,235,NA,NA,16,0,NA,NA,NA
"7","Shilique Calhoun",4,41,1.5609756097561,"Career",NA,57,NA,0,0,4,5,2,NA,"5-Jun",1,1,NA,0,0,NA,5,NA,NA,NA,NA,"shilique-calhoun-1",NA,18,"DE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0,"Career",74,44,"Michigan State",131,3,0,250,NA,NA,20,56,56,NA,NA
"8","Taco Charlton",8,37,3.45945945945946,"Career",NA,35,NA,NA,NA,1,0,NA,NA,"6-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"taco-charlton-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"Career",56,28,"Michigan",91,NA,NA,272,NA,NA,NA,0,NA,NA,NA
"9","Bradley Chubb",10,20,8,"Career",NA,98,NA,NA,NA,6,1,NA,NA,"4-Jun",1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"bradley-chubb-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"Career",100,54.5,"North Carolina State",198,NA,NA,275,NA,NA,NA,0,0,NA,NA
"10","Frank Clark",32,76,6.73684210526316,"Career",NA,48,NA,NA,NA,1,3,0,NA,"2-Jun",1,0,NA,NA,NA,NA,6,NA,NA,NA,NA,"frank-clark-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,"Career",66,35,"Michigan",114,NA,NA,277,NA,NA,0,7,7,NA,NA
"11","Jadeveon Clowney",46,75,9.81333333333333,"Career",NA,44,NA,NA,NA,9,1,0,NA,"6-Jun",0,0,NA,NA,NA,NA,7,NA,NA,NA,NA,"jadeveon-clowney-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,"Career",85,47,"South Carolina",129,NA,NA,274,NA,NA,2,0,NA,NA,NA
"12","Scott Crichton",2,21,1.52380952380952,"Career",NA,65,NA,NA,NA,10,2,0,NA,"3-Jun",0,0,NA,NA,NA,NA,9,NA,NA,NA,NA,"scott-crichton-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,NA,"Career",100,51,"Oregon State",165,NA,NA,265,NA,NA,0,0,NA,NA,NA
"13","Marcus Davenport",7,26,4.30769230769231,"Career",NA,90,NA,0,0,6,2,1,NA,"7-Jun",0,0,NA,0,0,NA,8,NA,NA,NA,NA,"marcus-davenport-1",NA,6,"DE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5,NA,"Career",95,37.5,"UTSA",185,1,NA,255,NA,NA,NA,0,NA,NA,NA
"14","Kevin Dodd",2,18,1.77777777777778,"Career",NA,27,NA,NA,NA,1,1,0,NA,"5-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"kevin-dodd-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,"Career",55,26.5,"Clemson",82,NA,NA,275,NA,NA,0,0,NA,NA,NA
"15","Kasim Edebali",5,62,1.29032258064516,"Career",NA,78,NA,NA,NA,5,2,0,NA,"3-Jun",0,0,NA,NA,NA,NA,14,NA,NA,NA,NA,"kasim-edebali-1",NA,NA,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"Career",89,24.5,"Boston College",167,NA,NA,246,NA,NA,0,0,NA,NA,NA
