"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Victor Abiamiri",5,29,2.75862068965517,NA,NA,31,NA,NA,NA,3,0,0,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"victor-abiamiri-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"Career",59,30.5,"Notre Dame",90,NA,NA,NA,NA,NA,0,NA,NA,NA,"Career"
"2","Sam Acho",34,110,4.94545454545455,"Career",NA,44,NA,NA,NA,8,0,0,NA,"",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"sam-acho-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,"Career",93,32.5,"Texas",137,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"3","Gaines Adams",18,47,6.12765957446809,NA,NA,37,NA,0,0,5,3,1,NA,"",0,0,NA,0,0,NA,11,NA,NA,NA,NA,"gaines-adams-1",NA,6,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0,"Career",59,27.5,"Clemson",96,1,0,NA,NA,NA,85,0,NA,NA,"Career"
"4","Mike Adams",12,53,3.62264150943396,"Career",NA,1,NA,NA,NA,1,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"mike-adams-2",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",5,2.5,"Louisville",6,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"5","Mario Addison",31,126,3.93650793650794,"Career",NA,22,NA,NA,NA,3,1,0,NA,"",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"mario-addison-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"Career",48,21.5,"Troy",70,NA,NA,NA,NA,NA,13,NA,NA,NA,NA
"6","Victor Adeyanju",14,53,4.22641509433962,NA,NA,15,NA,0,0,1,1,1,NA,"",NA,NA,NA,0,NA,NA,2,NA,NA,NA,NA,"victor-adeyanju-1",NA,6,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,0,"Career",32,12,"Indiana",47,1,0,NA,NA,NA,4,NA,NA,NA,"Career"
"7","C.J. Ah You",4,33,1.93939393939394,NA,NA,33,NA,NA,NA,4,0,0,NA,"",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,"cj-ah-you-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,"Career",53,18.5,"Oklahoma",86,NA,NA,NA,NA,NA,0,NA,NA,NA,"Career"
"8","Ikaika Alama-Francis",2,35,0.914285714285714,NA,NA,43,NA,NA,NA,3,1,0,NA,"",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"ikaika-alama-francis-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"Career",45,17.5,"Hawaii",88,NA,NA,NA,NA,NA,0,NA,NA,NA,"Career"
"9","Alex Albright",3,30,1.6,"Career",NA,51,NA,NA,NA,4,1,0,NA,"",1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"alex-albright-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,"Career",73,31.5,"Boston College",124,NA,NA,NA,NA,NA,7,22,22,NA,NA
"10","Frank Alexander",6,29,3.31034482758621,"Career",NA,59,NA,0,0,3,1,1,NA,"",1,0,NA,0,0,NA,6,NA,NA,NA,NA,"frank-alexander-1",NA,8,"DL",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5,0,"Career",83,44,"Oklahoma",142,1,1,NA,NA,NA,3,27,27,NA,NA
