name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Victor Abiamiri,5,29,2.75862068965517,,,31.0,,,,3.0,0.0,0.0,,,,,,,,,2.0,,,,,victor-abiamiri-1,,,DL,,,,,,,,,,,,19.0,,Career,59.0,30.5,Notre Dame,90.0,,,,,,0.0,,,,Career
Sam Acho,34,110,4.94545454545455,Career,,44.0,,,,8.0,0.0,0.0,,,,,,,,,8.0,,,,,sam-acho-1,,,DL,,,,,,,,,,,,21.0,,Career,93.0,32.5,Texas,137.0,,,,,,0.0,,,,
Gaines Adams,18,47,6.1276595744680895,,,37.0,,0.0,0.0,5.0,3.0,1.0,,,0.0,0.0,,0.0,0.0,,11.0,,,,,gaines-adams-1,,6.0,DL,0.0,,,,,,,,,,,21.0,0.0,Career,59.0,27.5,Clemson,96.0,1.0,0.0,,,,85.0,0.0,,,Career
Mike Adams,12,53,3.6226415094339597,Career,,1.0,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,mike-adams-2,,,DL,,,,,,,,,,,,2.0,,Career,5.0,2.5,Louisville,6.0,,,,,,0.0,,,,
Mario Addison,31,126,3.93650793650794,Career,,22.0,,,,3.0,1.0,0.0,,,,,,,,,1.0,,,,,mario-addison-1,,,DL,,,,,,,,,,,,12.0,,Career,48.0,21.5,Troy,70.0,,,,,,13.0,,,,
Victor Adeyanju,14,53,4.22641509433962,,,15.0,,0.0,0.0,1.0,1.0,1.0,,,,,,0.0,,,2.0,,,,,victor-adeyanju-1,,6.0,DL,0.0,,,,,,,,,,,6.5,0.0,Career,32.0,12.0,Indiana,47.0,1.0,0.0,,,,4.0,,,,Career
C.J. Ah You,4,33,1.93939393939394,,,33.0,,,,4.0,0.0,0.0,,,,,,,,,5.0,,,,,cj-ah-you-1,,,DL,,,,,,,,,,,,10.5,,Career,53.0,18.5,Oklahoma,86.0,,,,,,0.0,,,,Career
Ikaika Alama-Francis,2,35,0.9142857142857141,,,43.0,,,,3.0,1.0,0.0,,,,,,,,,4.0,,,,,ikaika-alama-francis-1,,,DL,,,,,,,,,,,,9.0,,Career,45.0,17.5,Hawaii,88.0,,,,,,0.0,,,,Career
Alex Albright,3,30,1.6,Career,,51.0,,,,4.0,1.0,0.0,,,1.0,0.0,,,,,3.0,,,,,alex-albright-1,,,DL,,,,,,,,,,,,16.0,,Career,73.0,31.5,Boston College,124.0,,,,,,7.0,22.0,22.0,,
Frank Alexander,6,29,3.31034482758621,Career,,59.0,,0.0,0.0,3.0,1.0,1.0,,,1.0,0.0,,0.0,0.0,,6.0,,,,,frank-alexander-1,,8.0,DL,0.0,,,,,,,,,,,20.5,0.0,Career,83.0,44.0,Oklahoma,142.0,1.0,1.0,,,,3.0,27.0,27.0,,
