"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Montravius Adams",4,37,1.72972972972973,"Career",NA,70,NA,0,0,3,3,1,NA,"4-Jun",2,0,NA,0,0,NA,3,NA,NA,NA,NA,"montravius-adams-1",NA,6,"DT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA,"Career",77,19.5,"Auburn",147,1,NA,305,NA,NA,NA,43,21.5,NA,NA
"2","Andrew Billings",15,47,5.1063829787234,"Career",NA,33,NA,NA,NA,2,0,NA,NA,"2-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"andrew-billings-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,"Career",74,30,"Baylor",107,NA,NA,310,NA,NA,NA,0,NA,NA,NA
"3","Jay Bromley",7,57,1.96491228070175,"Career",NA,50,NA,NA,NA,3,0,0,NA,"4-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"jay-bromley-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"Career",70,24.5,"Syracuse",120,NA,NA,285,NA,NA,0,0,NA,NA,NA
"4","Malcom Brown",37,76,7.78947368421053,"Career",NA,24,NA,NA,NA,0,1,0,NA,"2-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"malcom-brown-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",17,5,"Texas",41,NA,NA,320,NA,NA,0,0,NA,NA,NA
"5","Vernon Butler",7,52,2.15384615384615,"Career",NA,81,NA,NA,NA,1,2,0,NA,"3-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"vernon-butler-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",87,28.5,"Louisiana Tech",168,NA,NA,316,NA,NA,0,0,NA,NA,NA
"6","Trevon Coley",14,38,5.89473684210526,"Career",NA,112,NA,NA,NA,2,4,0,NA,"2-Jun",1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"trevon-coley-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,"Career",83,24,"Florida Atlantic",195,NA,NA,300,NA,NA,0,3,3,NA,NA
"7","Maliek Collins",27,61,7.08196721311475,"Career",NA,49,NA,NA,NA,1,0,NA,NA,"2-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"maliek-collins-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"Career",37,21.5,"Nebraska",86,NA,NA,300,NA,NA,NA,0,NA,NA,NA
"8","Christian Covington",13,66,3.15151515151515,"Career",NA,44,NA,NA,NA,2,2,0,NA,"3-Jun",0,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"christian-covington-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,"Career",78,23,"Rice",122,NA,NA,300,NA,NA,0,0,NA,NA,NA
"9","Brandon Dunn",13,63,3.3015873015873,"Career",NA,40,NA,NA,NA,0,1,0,NA,"3-Jun",0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,"brandon-dunn-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",47,7.5,"Louisville",87,NA,NA,300,NA,NA,0,0,NA,NA,NA
"10","Ego Ferguson",2,20,1.6,"Career",NA,61,NA,NA,NA,0,0,0,NA,"3-Jun",0,0,NA,NA,NA,NA,5,NA,NA,NA,NA,"ego-ferguson-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",24,5,"LSU",85,NA,NA,309,NA,NA,0,0,NA,NA,NA
"11","Ryan Glasgow",3,24,2,"Career",NA,39,NA,NA,NA,2,1,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"ryan-glasgow-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",38,13.5,"Michigan",77,NA,NA,302,NA,NA,NA,0,NA,NA,NA
"12","Eddie Goldman",32,67,7.64179104477612,"Career",NA,31,NA,NA,NA,1,1,0,NA,"4-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"eddie-goldman-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,"Career",31,12,"Florida State",62,NA,NA,320,NA,NA,0,0,NA,NA,NA
"13","Rasheem Green",5,26,3.07692307692308,"Career",NA,67,NA,0,0,3,1,1,NA,"4-Jun",0,0,NA,0,0,NA,8,NA,NA,NA,NA,"rasheem-green-1",NA,6,"DT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,"Career",48,20,"USC",115,1,NA,275,NA,NA,31,0,NA,NA,NA
"14","Willie Henry",4,17,3.76470588235294,"Career",NA,45,NA,0,0,0,0,NA,NA,"3-Jun",1,1,NA,0,NA,NA,2,NA,NA,NA,NA,"willie-henry-1",NA,6,"DT",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,"Career",40,18,"Michigan",85,1,NA,311,NA,NA,NA,7,7,NA,NA
"15","Treyvon Hester",3,41,1.17073170731707,"Career",NA,84,NA,NA,NA,4,2,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"treyvon-hester-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,"Career",77,32,"Toledo",161,NA,NA,300,NA,NA,NA,0,NA,NA,NA
"16","Grady Jarrett",34,77,7.06493506493506,"Career",NA,64,NA,NA,NA,2,3,0,NA,"1-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"grady-jarrett-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,"Career",80,28.5,"Clemson",144,NA,NA,295,NA,NA,0,0,NA,NA,NA
"17","Timmy Jernigan",27,71,6.08450704225352,"Career",NA,65,NA,NA,NA,0,1,0,NA,"2-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"timmy-jernigan-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,"Career",73,25,"Florida State",138,NA,NA,294,NA,NA,0,0,NA,NA,NA
"18","Nazair Jones",3,20,2.4,"Career",NA,74,NA,NA,NA,3,3,NA,NA,"5-Jun",2,0,NA,NA,NA,NA,10,NA,NA,NA,NA,"nazair-jones-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",72,22,"North Carolina",146,NA,NA,304,NA,NA,NA,20,10,NA,NA
"19","T.Y. McGill",2,37,0.864864864864865,"Career",NA,26,NA,NA,NA,2,1,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"ty-mcgill-2",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",36,13,"North Carolina State",62,NA,NA,289,NA,NA,NA,0,NA,NA,NA
"20","Lorenzo Neal",18,239,1.20502092050209,"Career",NA,20,NA,NA,NA,4,1,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"lorenzo-neal-2",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,"Career",42,11.5,"Purdue",62,NA,NA,315,NA,NA,NA,0,NA,NA,NA
"21","Robert Nkemdiche",6,29,3.31034482758621,"Career",NA,40,NA,0,0,0,0,NA,NA,"4-Jun",0,0,NA,0,NA,NA,3,NA,NA,NA,NA,"robert-nkemdiche-1",10,18,"DT",0,NA,1,31,31,1,9,2,34,3.8,3,6,NA,"Career",41,16,"Ole Miss",81,3,NA,296,65,6.5,NA,0,NA,NA,NA
"22","Derrick Nnadi",11,32,5.5,"Career",NA,90,NA,NA,NA,3,2,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"derrick-nnadi-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,"Career",75,24.5,"Florida State",165,NA,NA,312,NA,NA,NA,0,NA,NA,NA
"23","Tenny Palepoi",4,44,1.45454545454545,"Career",NA,38,NA,NA,NA,1,0,0,NA,"2-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"tenny-palepoi-1",NA,NA,"DT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,"Career",36,12.5,"Utah",74,NA,NA,300,NA,NA,0,0,NA,NA,NA
