name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Roberto Aguayo,0,16,0.0,Career,,0.0,,198.0,69.0,0.0,0.0,,,2-Jun,0.0,0.0,,0.0,,,0.0,,,,,roberto-aguayo-1,,405.0,K,0.0,,,,,,,,,,,0.0,,Career,1.0,0.0,Florida State,1.0,0.0,,196.0,,,,0.0,,,
Michael Badgley,5,18,4.44444444444444,Career,,1.0,,172.0,77.0,0.0,0.0,,,10-May,0.0,0.0,,0.0,,,0.0,,,,,michael-badgley-1,,403.0,K,0.0,,,,,,,,,,,0.0,,Career,7.0,0.0,Miami (FL),8.0,0.0,,178.0,,,,0.0,,,
Dan Bailey,33,138,3.82608695652174,Career,,0.0,,199.0,57.0,,,,,,0.0,0.0,,,,,,,,,,dan-bailey-1,,370.0,K,,,,,,,,,,,,0.0,,Career,6.0,0.0,Oklahoma State,6.0,0.0,,,,,,0.0,,,
Chris Boswell,16,74,3.4594594594594597,Career,,0.0,,164.0,65.0,0.0,0.0,,,2-Jun,0.0,0.0,,0.0,,,0.0,,,,,chris-boswell-1,,359.0,K,0.0,,,,,,,,,,,0.0,,Career,1.0,0.0,Rice,1.0,0.0,,200.0,,,,0.0,,,
John Brown,36,87,6.62068965517241,,,,,15.0,6.0,,,,,,,,,,,,,,,,,john-brown-1,,33.0,K,,,,,,,,,,,,,,Career,,,UCF,,0.0,,,,,,,,,Career
David Buehler,2,36,0.8888888888888891,Career,,0.0,,117.0,26.0,,,,,,0.0,0.0,,,,,,,,,,david-buehler-1,,195.0,K,,,,,,,,,,,,0.0,,Career,5.0,0.0,USC,5.0,0.0,,,,,,0.0,,,
Randy Bullock,15,95,2.52631578947368,Career,,1.0,,176.0,63.0,,,,,,0.0,0.0,,,,,,,,,,randy-bullock-1,,365.0,K,,,,,,,,,,,,0.0,,Career,5.0,0.0,Texas A&M,6.0,0.0,,,,,,0.0,,,
Harrison Butker,14,45,4.9777777777777805,2013,,0.0,,53.0,10.0,0.0,0.0,,13.0,4-Jun,0.0,0.0,,0.0,,,0.0,,,,,harrison-butker-1,,83.0,K,0.0,,,,,,,,,,,0.0,,2013,2.0,0.0,Georgia Tech,2.0,0.0,,199.0,,,,0.0,,,
Daniel Carlson,4,28,2.28571428571429,Career,,0.0,,198.0,92.0,0.0,0.0,,,4-Jun,0.0,0.0,,0.0,,,0.0,,,,,daniel-carlson-1,1.0,480.0,K,0.0,,0.0,0.0,,0.0,1.0,1.0,20.0,20.0,1.0,0.0,,Career,2.0,0.0,Auburn,2.0,1.0,,223.0,20.0,20.0,,0.0,,,
Chandler Catanzaro,13,77,2.7012987012987,Career,,1.0,,203.0,67.0,0.0,0.0,,,3-Jun,0.0,0.0,,0.0,,,0.0,,,,,chandler-catanzaro-1,,404.0,K,0.0,,,,,,,,,,,0.0,,Career,0.0,0.0,Clemson,1.0,0.0,,200.0,,,,0.0,,,
Travis Coons,3,19,2.52631578947368,Career,16.0,1.0,1.0,101.0,24.0,0.0,0.0,,,2-Jun,0.0,0.0,0.0,0.0,,1.0,0.0,100.0,0.0,16.0,16.0,travis-coons-1,1.0,173.0,K,0.0,234.4,0.0,0.0,,0.0,1.0,0.0,19.0,19.0,0.0,0.0,,Career,2.0,0.0,Washington,3.0,0.0,,199.0,19.0,19.0,,0.0,,,
