"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Emmanuel Acho",2,20,1.6,"Career",NA,98,NA,0,0,2,0,0,NA,"",2,1,NA,0,0,NA,6,NA,NA,NA,NA,"emmanuel-acho-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0,"Career",142,32.5,"Texas",240,1,0,NA,NA,NA,0,70,35,NA,NA
"2","Matthew Adams",6,32,3,"Career",NA,97,NA,NA,NA,4,2,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"matthew-adams-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,"Career",159,20.9,"Houston",256,NA,NA,237,NA,NA,NA,0,NA,NA,NA
"3","Michael Adams",7,80,1.4,"Career",NA,6,NA,NA,NA,0,0,0,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"michael-adams-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",5,1,"Arkansas State",11,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"4","Xavier Adibi",4,44,1.45454545454545,"Career",NA,154,NA,NA,NA,NA,NA,1,NA,"",8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"xavier-adibi-1",NA,18,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"Career",112,25,"Virginia Tech",266,3,NA,NA,NA,NA,35,170,21.3,NA,NA
"5","Spencer Adkins",2,24,1.33333333333333,"Career",NA,23,NA,NA,NA,0,0,0,NA,"",1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"spencer-adkins-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",41,10,"Miami (FL)",64,NA,NA,NA,NA,NA,0,13,13,NA,NA
"6","D.J. Alexander",7,61,1.83606557377049,"Career",NA,78,NA,NA,NA,2,0,0,NA,"2-Jun",1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"dj-alexander-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,"Career",105,20.5,"Oregon State",183,NA,NA,233,NA,NA,0,25,25,NA,NA
"7","Dominique Alexander",1,18,0.888888888888889,"Career",NA,139,NA,NA,NA,3,0,NA,NA,"Jun-00",1,0,NA,NA,NA,NA,3,NA,NA,NA,NA,"dominique-alexander-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,"Career",153,18,"Oklahoma",292,NA,NA,229,NA,NA,NA,0,0,NA,NA
"8","Eric Alexander",3,54,0.888888888888889,NA,NA,NA,NA,0,0,NA,1,1,NA,"",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"eric-alexander-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"Career",NA,NA,"LSU",NA,1,0,NA,NA,NA,25,NA,NA,NA,"Career"
"9","Kwon Alexander",29,54,8.59259259259259,"Career",NA,89,NA,NA,NA,3,1,0,NA,"2-Jun",0,0,NA,NA,NA,NA,5,NA,NA,NA,NA,"kwon-alexander-1",NA,NA,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,"Career",78,15,"LSU",167,NA,NA,227,NA,NA,15,0,NA,NA,NA
"10","Jonathan Allen",17,36,7.55555555555556,"2013",NA,5,NA,0,0,1,0,NA,7,"3-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"jonathan-allen-1",NA,0,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,"2013",10,3,"Alabama",15,0,NA,286,NA,NA,NA,0,NA,NA,NA
"11","Russell Allen",21,78,4.30769230769231,"Career",NA,160,NA,NA,NA,0,0,0,NA,"",3,0,NA,NA,NA,NA,1,NA,NA,NA,NA,"russell-allen-1",1,NA,"LB",NA,NA,0,0,NA,0,1,0,5,5,0,3.5,NA,"Career",215,22,"San Diego State",375,NA,NA,NA,5,5,0,0,0,NA,NA
"12","Colin Allred",2,32,1,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,"",1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,"colin-allred-1",NA,6,"LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,"Career",44,9,"Baylor",73,1,NA,NA,NA,NA,NA,25,25,NA,"Career"
