"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Oday Aboushi",14,49,4.57142857142857,"Career",NA,1,NA,NA,NA,0,0,0,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"oday-aboushi-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Virginia",2,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"2","Danny Aiken",4,66,0.96969696969697,"Career",NA,7,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"danny-aiken-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",5,0,"Virginia",12,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"3","Branden Albert",53,120,7.06666666666667,"Career",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"branden-albert-1",1,NA,"OL",NA,NA,NA,NA,NA,NA,1,0,2,2,0,NA,NA,"Career",NA,NA,"Virginia",NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA
"4","Shawn Andrews",40,63,10.1587301587302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shawn-andrews-1",3,12,"OL",NA,NA,NA,NA,NA,NA,3,2,3,1,2,NA,NA,"Career",NA,NA,"Arkansas",NA,2,NA,NA,3,1,NA,NA,NA,NA,"Career"
"5","Jon Asamoah",23,75,4.90666666666667,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"jon-asamoah-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Illinois",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"6","Alvin Bailey",11,57,3.08771929824561,"Career",NA,1,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"alvin-bailey-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Arkansas",3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"7","Don Barclay",18,65,4.43076923076923,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"don-barclay-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"West Virginia",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"8","Tim Barnes",15,78,3.07692307692308,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"tim-barnes-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Missouri",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"9","Zane Beadles",60,137,7.00729927007299,"Career",NA,0,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"zane-beadles-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Utah",2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"10","Tony Bergstrom",13,82,2.53658536585366,"Career",NA,1,NA,NA,NA,0,0,0,NA,"",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"tony-bergstrom-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",0,0,"Utah",1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
