name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Oday Aboushi,14,49,4.57142857142857,Career,,1.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,oday-aboushi-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Virginia,2.0,,,,,,0.0,0.0,,,
Danny Aiken,4,66,0.96969696969697,Career,,7.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,danny-aiken-1,,,OL,,,,,,,,,,,,0.0,,Career,5.0,0.0,Virginia,12.0,,,,,,0.0,,,,
Branden Albert,53,120,7.06666666666667,Career,,,,,,,,,,,,,,,,,,,,,,branden-albert-1,1.0,,OL,,,,,,,1.0,0.0,2.0,2.0,0.0,,,Career,,,Virginia,,,,,2.0,2.0,,,,,
Shawn Andrews,40,63,10.158730158730199,,,,,,,,,,,,,,,,,,,,,,,shawn-andrews-1,3.0,12.0,OL,,,,,,,3.0,2.0,3.0,1.0,2.0,,,Career,,,Arkansas,,2.0,,,3.0,1.0,,,,,Career
Jon Asamoah,23,75,4.90666666666667,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,jon-asamoah-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Illinois,1.0,,,,,,0.0,,,,
Alvin Bailey,11,57,3.08771929824561,Career,,1.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,alvin-bailey-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Arkansas,3.0,,,,,,0.0,,,,
Don Barclay,18,65,4.430769230769231,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,don-barclay-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,West Virginia,1.0,,,,,,0.0,,,,
Tim Barnes,15,78,3.07692307692308,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,tim-barnes-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Missouri,1.0,,,,,,0.0,,,,
Zane Beadles,60,137,7.00729927007299,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,zane-beadles-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Utah,2.0,,,,,,0.0,,,,
Tony Bergstrom,13,82,2.53658536585366,Career,,1.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,tony-bergstrom-1,,,OL,,,,,,,,,,,,0.0,,Career,0.0,0.0,Utah,1.0,,,,,,0.0,,,,
Joel Bitonio,38,79,7.69620253164557,Career,,1.0,,,,0.0,0.0,0.0,,4-Jun,0.0,0.0,,,,,0.0,,,,,joel-bitonio-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Nevada,3.0,,,315.0,,,0.0,0.0,,,
Austin Blythe,20,55,5.81818181818182,Career,,0.0,,,,0.0,0.0,,,3-Jun,0.0,0.0,,,,,0.0,,,,,austin-blythe-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Iowa,1.0,,,290.0,,,,0.0,,,
Russell Bodine,31,74,6.7027027027027,Career,,1.0,,,,0.0,0.0,0.0,,4-Jun,,,,,,,0.0,,,,,russell-bodine-1,,,OL,,,,,,,,,,,,0.0,,Career,0.0,0.0,North Carolina,1.0,,,310.0,,,0.0,,,,
Evan Boehm,12,55,3.49090909090909,Career,,0.0,,,,0.0,0.0,0.0,,3-Jun,,,,,,,0.0,,,,,evan-boehm-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Missouri,1.0,,,320.0,,,0.0,,,,
Clint Boling,51,111,7.351351351351349,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,clint-boling-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Georgia,2.0,,,,,,0.0,,,,
Mike Brisiel,40,80,8.0,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,mike-brisiel-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Colorado State,1.0,,,,,,0.0,,,,Career
Eben Britton,18,60,4.8,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,eben-britton-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Arizona,1.0,,,,,,0.0,,,,
Justin Britt,43,87,7.90804597701149,Career,,1.0,,,,0.0,0.0,0.0,,6-Jun,0.0,0.0,,,,,0.0,,,,,justin-britt-2,1.0,,OL,,,0.0,0.0,,0.0,1.0,0.0,7.0,7.0,0.0,0.0,,Career,1.0,0.0,Missouri,2.0,,,315.0,7.0,7.0,0.0,0.0,,,
Brandon Brooks,51,112,7.28571428571429,Career,,2.0,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,brandon-brooks-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Miami (OH),4.0,,,,,,,0.0,,,
Duane Brown,105,170,9.882352941176471,Career,,2.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,,duane-brown-1,,6.0,OL,0.0,,,,,,,,,,,0.0,0.0,Career,4.0,0.0,Virginia Tech,6.0,1.0,0.0,,,,0.0,0.0,,,
Jamon Brown,22,60,5.86666666666667,Career,,1.0,,,,0.0,0.0,0.0,,6-Jun,,,,,,,0.0,,,,,jamon-brown-1,,,OL,,,,,,,,,,,,0.0,,Career,0.0,0.0,Louisville,1.0,,,326.0,,,0.0,,,,
Jeff Byers,5,22,3.6363636363636402,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,jeff-byers-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,USC,1.0,,,,,,0.0,,,,
James Carpenter,50,114,7.017543859649121,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,james-carpenter-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Alabama,1.0,,,,,,0.0,,,,
Anthony Castonzo,67,132,8.12121212121212,Career,,1.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,anthony-castonzo-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Boston College,3.0,,,,,,0.0,,,,
Gosder Cherilus,60,132,7.27272727272727,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,gosder-cherilus-1,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Boston College,3.0,,,,,,0.0,,,,
Ryan Clady,73,107,10.9158878504673,2007,,,,,,,,,,,,,,,,,,,,,,ryan-clady-1,,,OL,,,,,,,,,,,,,,2007,,,Boise State,,,,,,,,,,,
Chris Clark,40,129,4.961240310077519,Career,,0.0,,,,0.0,0.0,0.0,,6-Jun,,,,,,,0.0,,,,,chris-clark-1,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Southern Mississippi,3.0,,,255.0,,,0.0,,,,
Jeromey Clary,55,103,8.54368932038835,,,1.0,,,,,,,,,0.0,0.0,,,,,,,,,,jeromey-clary-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Kansas State,2.0,,,,,,,0.0,,,Career
Jonathan Cooper,15,46,5.21739130434783,Career,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,jonathan-cooper-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,North Carolina,2.0,,,,,,0.0,0.0,,,
Jim Cordle,6,36,2.6666666666666696,Career,,1.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,jim-cordle-1,,,OL,,,,,,,,,,,,0.0,,Career,0.0,0.0,Ohio State,1.0,,,,,,0.0,,,,
Morgan Cox,14,150,1.49333333333333,Career,,6.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,morgan-cox-1,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Tennessee,9.0,,,,,,0.0,,,,
James Daniels,11,32,5.5,Career,,0.0,,,,0.0,0.0,,,4-Jun,0.0,0.0,,,,,0.0,,,,,james-daniels-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Iowa,1.0,,,295.0,,,,0.0,,,
Taylor Decker,30,55,8.72727272727273,Career,,0.0,,,,0.0,0.0,,,8-Jun,0.0,0.0,,,,,0.0,,,,,taylor-decker-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Ohio State,2.0,,,315.0,,,,0.0,,,
Brandyn Dombrowski,13,47,4.42553191489362,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,brandyn-dombrowski-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,San Diego State,1.0,,,,,,0.0,,,,
Jamil Douglas,6,32,3.0,Career,,0.0,,,,0.0,0.0,0.0,,4-Jun,0.0,0.0,,,,,0.0,,,,,jamil-douglas-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Arizona State,2.0,,,300.0,,,0.0,0.0,,,
Justin Drescher,6,110,0.8727272727272729,Career,,1.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,justin-drescher-1,,,OL,,,,,,,,,,,,0.0,,Career,4.0,0.0,Colorado,5.0,,,,,,0.0,,,,
Pat Elflein,22,43,8.18604651162791,Career,,0.0,,,,0.0,0.0,,,3-Jun,0.0,0.0,,,,,0.0,,,,,pat-elfein-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Ohio State,1.0,,,303.0,,,,0.0,,,
Cameron Erving,22,69,5.10144927536232,Career,,9.0,,,,0.0,0.0,,,6-Jun,0.0,0.0,,,,,0.0,,,,,cameron-erving-1,,,OL,,,,,,,,,,,,1.0,,Career,13.0,2.5,Florida State,22.0,,,308.0,,,,0.0,,,
Trai Essex,18,76,3.78947368421053,,,,,,,,,,,,,,,,,,,,,,,trai-essex-1,,6.0,OL,,,,,,,,,,,,,,Career,,,Northwestern,,1.0,,,,,,,,,Career
Jason Fabini,65,152,6.84210526315789,,,,,,,,,,,,,,,,,,,,,,,jason-fabini-1,,6.0,OL,,,,,,,,,,,,,,Career,,,Cincinnati,,1.0,,,,,,,,,Career
B.J. Finney,9,59,2.4406779661017,Career,,0.0,,,,0.0,0.0,,,4-Jun,0.0,0.0,,,,,0.0,,,,,bj-finney-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Kansas State,1.0,,,303.0,,,,0.0,,,
Jake Fisher,6,48,2.0,Career,,,,,,,,,,6-Jun,,,,,,,,,,,,jake-fisher-1,,6.0,OL,,,,,,,,,,,,,,Career,,,Oregon,,1.0,,300.0,,,,,,,
Ereck Flowers,31,75,6.61333333333333,Career,,1.0,,,,0.0,0.0,,,6-Jun,0.0,0.0,,,,,0.0,,,,,ereck-flowers-1,,,OL,,,,,,,,,,,,0.0,,Career,0.0,0.0,Miami (FL),1.0,,,322.0,,,,0.0,,,
D.J. Fluker,43,92,7.4782608695652195,Career,,0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,dj-fluker-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Alabama,1.0,,,,,,,0.0,,,
Ramon Foster,69,160,6.9,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,ramon-foster-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Tennessee,1.0,,,,,,0.0,,,,
Jason Fox,9,37,3.8918918918918903,Career,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,,jason-fox-1,1.0,6.0,OL,0.0,,0.0,0.0,,0.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0,Career,2.0,0.0,Miami (FL),2.0,1.0,0.0,,5.0,5.0,0.0,0.0,,,
Orlando Franklin,44,90,7.822222222222219,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,orlando-franklin-1,,,OL,,,,,,,,,,,,0.0,,Career,5.0,0.0,Miami (FL),5.0,,,,,,0.0,,,,
Travis Frederick,61,96,10.1666666666667,Career,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,travis-frederick-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Wisconsin,2.0,,,,,,0.0,0.0,,,
Joshua Garnett,5,22,3.6363636363636402,Career,,0.0,,,,0.0,0.0,,,5-Jun,0.0,0.0,,,,,0.0,,,,,joshua-garnett-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Stanford,1.0,,,321.0,,,,0.0,,,
Nate Garner,14,74,3.02702702702703,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,nate-garner-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Arkansas,1.0,,,,,,0.0,,,,
Marcus Gilbert,44,88,8.0,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,marcus-gilbert-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Florida,1.0,,,,,,0.0,,,,
Graham Glasgow,28,62,7.2258064516129,Career,,4.0,,,,0.0,0.0,,,6-Jun,0.0,0.0,,,,,0.0,,,,,graham-glasgow-1,,,OL,,,,,,,,,,,,0.0,,Career,8.0,4.0,Michigan,12.0,,,303.0,,,,0.0,,,
Cordy Glenn,47,97,7.75257731958763,Career,,1.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,cordy-glenn-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Georgia,2.0,,,,,,0.0,,,,
Mark Glowinski,20,62,5.16129032258065,Career,,0.0,,,,0.0,0.0,,,5-Jun,0.0,0.0,,,,,0.0,,,,,mark-glowinski-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,West Virginia,1.0,,,310.0,,,,0.0,,,
Adam Goldberg,30,112,4.28571428571429,,,,,,,,,,,,,,,,,,,,,,,adam-goldberg-1,1.0,,OL,,,,,,,1.0,0.0,2.0,2.0,0.0,,,Career,,,Wyoming,,,,,2.0,2.0,,,,,Career
Brett Goode,9,152,0.9473684210526321,,,3.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,brett-goode-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Arkansas,4.0,,,,,,0.0,,,,Career
John Greco,32,132,3.87878787878788,Career,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,john-greco-1,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Toledo,3.0,,,,,,0.0,0.0,,,
Clint Gresham,6,96,1.0,Career,,1.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,clint-gresham-1,,,OL,,,,,,,,,,,,0.0,,Career,7.0,0.0,Texas Christian,8.0,,,,,,0.0,,,,
Ryan Groy,9,65,2.21538461538462,Career,,0.0,,,,0.0,0.0,0.0,,5-Jun,0.0,0.0,,,,,0.0,,,,,ryan-groy-1,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Wisconsin,3.0,,,320.0,,,0.0,0.0,,,
Ben Grubbs,65,129,8.062015503875969,,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,ben-grubbs-1,,,OL,,,,,,,,,,,,0.0,,Career,3.0,0.0,Auburn,3.0,,,,,,0.0,,,,Career
Chris Hairston,20,74,4.32432432432432,Career,,1.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,chris-hairston-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Clemson,2.0,,,,,,0.0,,,,
Rob Havenstein,35,68,8.23529411764706,Career,,0.0,,,,0.0,0.0,,,8-Jun,0.0,0.0,,,,,0.0,,,,,rob-havenstein-1,,,OL,,,,,,,,,,,,0.0,,Career,2.0,0.0,Wisconsin,2.0,,,333.0,,,,0.0,,,
Joe Hawley,29,91,5.098901098901099,Career,,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,,,,,joe-hawley-1,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,UNLV,1.0,,,,,,0.0,0.0,,,
Jason Hill,10,54,2.96296296296296,Career,,0.0,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,jason-hill-2,,,OL,,,,,,,,,,,,0.0,,Career,1.0,0.0,Georgia Tech,1.0,,,,,,0.0,,,,
