"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Ryan Allen",14,104,2.15384615384615,"Career",7.5,1,2,NA,NA,NA,NA,NA,NA,"",0,0,0,NA,NA,2,NA,100,0,15,7.5,"ryan-allen-1",NA,NA,"P",NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Louisiana Tech",2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"2","Bryan Anger",19,126,2.41269841269841,"Career",NA,1,NA,NA,NA,0,0,NA,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"bryan-anger-1",1,NA,"P",NA,NA,NA,NA,NA,NA,1,0,5,5,0,0,NA,"Career",2,0,"California",3,NA,NA,NA,5,5,NA,0,NA,NA,NA
"3","Jason Baker",20,167,1.91616766467066,NA,1.5,NA,1,NA,NA,NA,NA,NA,NA,"6-1",NA,NA,0,NA,NA,2,NA,50,0,3,1.5,"jason-baker-1",1,NA,"P",NA,62.6,NA,NA,NA,NA,1,0,-5,-5,0,NA,NA,"Career",NA,NA,"Iowa",NA,NA,NA,170,-5,-5,NA,NA,NA,NA,"Career"
"4","Josh Bidwell",21,148,2.27027027027027,NA,15,NA,1,1,1,NA,NA,NA,NA,"",NA,NA,0,NA,NA,1,NA,100,0,15,15,"josh-bidwell-1",1,4,"P",NA,226,NA,NA,NA,NA,1,0,7,7,0,NA,NA,"Career",NA,NA,"Oregon",NA,0,NA,NA,7,7,NA,NA,NA,NA,"Career"
"5","Corey Bojorquez",2,24,1.33333333333333,"Career",NA,0,NA,NA,NA,0,0,NA,NA,"Jun-00",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"corey-bojorquez-1",NA,NA,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"New Mexico",1,NA,NA,200,NA,NA,NA,0,NA,NA,NA
"6","Drew Butler",2,54,0.592592592592593,"Career",NA,0,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drew-butler-1",NA,NA,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Georgia",1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"7","Britton Colquitt",23,160,2.3,"Career",0,0,0,NA,NA,NA,NA,NA,NA,"",0,0,0,NA,NA,1,NA,0,0,0,0,"britton-colquitt-1",NA,NA,"P",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"Tennessee",4,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"8","Dustin Colquitt",34,238,2.28571428571429,NA,19,NA,1,NA,NA,NA,NA,NA,NA,"",NA,NA,0,NA,NA,1,NA,100,0,19,19,"dustin-colquitt-1",NA,NA,"P",NA,259.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Tennessee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"9","Chris Cook",9,40,3.6,"Career",NA,1,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chris-cook-1",3,NA,"P",NA,NA,NA,NA,NA,NA,3,0,-6,-2,0,0,NA,"Career",2,0,"Florida International",3,NA,NA,NA,-6,-2,NA,0,NA,NA,NA
"10","Trevor Daniel",2,18,1.77777777777778,"Career",NA,0,NA,NA,NA,0,0,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"trevor-daniel-1",NA,NA,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Tennessee",2,NA,NA,227,NA,NA,NA,0,NA,NA,NA
"11","Matt Darr",5,37,2.16216216216216,"Career",NA,0,NA,NA,NA,0,1,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"matt-darr-1",1,NA,"P",NA,NA,0,0,NA,0,1,0,30,30,0,0,NA,"Career",0,0,"Tennessee",0,NA,NA,220,30,30,NA,0,NA,NA,NA
"12","Michael Dickson",5,32,2.5,"Career",NA,0,NA,NA,NA,0,0,NA,NA,"3-Jun",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"michael-dickson-1",1,NA,"P",NA,NA,0,0,NA,0,1,0,6,6,0,0,NA,"Career",3,0,"Texas",3,NA,NA,205,6,6,NA,0,NA,NA,NA
"13","Riley Dixon",8,64,2,"Career",10,0,2,NA,NA,0,0,NA,NA,"5-Jun",0,0,0,NA,NA,2,0,100,1,0,0,"riley-dixon-1",5,NA,"P",NA,265,0,0,NA,0,5,0,54,10.8,0,0,NA,"Career",4,0,"Syracuse",4,NA,NA,221,54,10.8,NA,0,NA,NA,NA
"14","Matt Dodge",2,16,2,"Career",NA,0,NA,1,0,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"matt-dodge-1",5,1,"P",NA,NA,NA,NA,NA,NA,5,0,37,7.4,0,0,NA,"Career",6,0,"East Carolina",6,0,NA,NA,37,7.4,NA,0,NA,NA,NA
"15","Brandon Fields",24,130,2.95384615384615,NA,0,0,0,NA,NA,NA,NA,NA,NA,"",0,0,0,NA,NA,1,NA,0,0,0,0,"brandon-fields-1",1,NA,"P",NA,0,NA,NA,NA,NA,1,0,-11,-11,0,0,NA,"Career",4,0,"Michigan State",4,NA,NA,NA,-11,-11,NA,0,NA,NA,"Career"
"16","Matt Haack",6,48,2,"Career",27,0,1,NA,NA,0,0,NA,NA,"1-Jun",0,0,0,NA,NA,1,0,100,0,27,27,"matt-haack-1",1,NA,"P",NA,326.8,0,0,NA,0,1,0,7,7,0,0,NA,"Career",2,0,"Arizona State",2,NA,NA,199,7,7,NA,0,NA,NA,NA
"17","Chris Hanson",19,134,2.26865671641791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"chris-hanson-1",1,6,"P",NA,NA,NA,NA,NA,NA,1,1,9,9,1,NA,NA,"Career",NA,NA,"Marshall",NA,1,NA,NA,9,9,NA,NA,NA,NA,"Career"
