name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Derek Anderson,22,78,4.512820513,NA,6.8,NA,768,NA,NA,NA,NA,NA,NA,,NA,NA,57,NA,NA,1515,NA,50.7,79,11249,7.4,derek-anderson-1,182,48,QB,NA,122.7,NA,NA,NA,NA,182,8,-533,-2.9,8,NA,NA,Career,NA,NA,Oregon State,NA,8,NA,NA,-533,-2.9,NA,NA,NA,NA,Career
Charlie Batch,37,81,7.308641975,NA,7.3,NA,579,NA,NA,NA,NA,NA,NA,,NA,NA,31,NA,NA,998,NA,58,53,7592,7.6,charlie-batch-1,181,30,QB,NA,133.2,NA,NA,NA,NA,181,5,123,0.7,5,NA,NA,Career,NA,NA,Eastern Michigan,NA,5,NA,NA,123,0.7,NA,NA,NA,NA,Career
Brooks Bollinger,6,21,4.571428571,NA,7.3,NA,414,NA,NA,NA,NA,NA,NA,,NA,NA,17,NA,NA,771,NA,53.7,38,5627,7.3,brooks-bollinger-1,521,156,QB,NA,126.9,0,50,16.7,3,518,26,1767,3.4,26,NA,NA,Career,NA,NA,Wisconsin,NA,26,NA,NA,1817,3.5,NA,NA,NA,NA,Career
Kyle Boller,18,67,4.298507463,NA,5.5,NA,622,NA,NA,NA,NA,NA,NA,,NA,NA,48,NA,NA,1301,NA,47.8,64,7980,6.1,kyle-boller-1,279,42,QB,NA,108.2,1,39,9.8,4,275,6,-169,-0.6,7,NA,NA,Career,NA,NA,California,NA,7,NA,NA,-130,-0.5,NA,NA,NA,NA,Career
Blake Bortles,48,78,9.846153846,Career,8.8,0,585,0,0,0,0,NA,NA,4-Jun,0,0,19,0,NA,891,0,65.7,56,7598,8.5,blake-bortles-1,196,90,QB,0,153.8,0,-3,-3,1,195,15,561,2.9,15,0,NA,Career,2,0,UCF,2,15,NA,230,558,2.8,NA,0,NA,NA,NA
Sam Bradford,49,83,9.445783133,Career,10.6,0,604,NA,NA,NA,NA,NA,NA,,0,0,16,NA,NA,893,NA,67.6,88,8403,9.4,sam-bradford-1,77,30,QB,NA,175.6,NA,NA,NA,NA,77,5,36,0.5,5,0,NA,Career,2,0,Oklahoma,2,5,NA,NA,36,0.5,NA,0,NA,NA,NA
Tom Brady,281,285,15.7754386,NA,7.2,NA,395,NA,NA,NA,NA,NA,NA,,NA,NA,17,NA,NA,638,NA,61.9,30,4773,7.5,tom-brady-1,90,18,QB,NA,134.9,NA,NA,NA,NA,90,3,-150,-1.7,3,NA,NA,Career,NA,NA,Michigan,NA,3,NA,NA,-150,-1.7,NA,NA,NA,NA,Career
Drew Brees,267,275,15.53454545,NA,6.9,NA,1026,NA,NA,NA,NA,NA,NA,,NA,NA,45,NA,NA,1678,NA,61.1,90,11792,7,drew-brees-1,259,96,QB,NA,132.5,2,14,2.3,6,253,14,900,3.6,16,NA,NA,Career,NA,NA,Purdue,NA,16,NA,NA,914,3.5,NA,NA,NA,NA,Career
Teddy Bridgewater,28,44,10.18181818,Career,8.9,0,781,0,0,0,0,NA,NA,3-Jun,0,0,24,0,NA,1142,0,68.4,72,9817,8.6,teddy-bridgewater-1,226,36,QB,0,157.2,0,0,NA,0,226,6,170,0.8,6,0,NA,Career,1,0,Louisville,1,6,NA,196,170,0.8,NA,0,NA,NA,NA
Jacoby Brissett,24,38,10.10526316,Career,7.1,0,499,0,0,0,0,NA,NA,4-Jun,0,0,15,0,NA,839,0,59.5,46,5723,6.8,jacoby-brissett-2,284,72,QB,0,131.3,0,20,20,1,283,12,902,3.2,12,0,NA,Career,1,0,Overall,1,12,NA,235,922,3.2,NA,0,NA,NA,NA
Marc Bulger,64,96,10.66666667,NA,7.6,NA,630,NA,NA,NA,NA,NA,NA,,NA,NA,34,NA,NA,1023,NA,61.6,59,8153,8,marc-bulger-1,108,12,QB,NA,140.9,0,-1,-1,1,107,2,-326,-3,2,NA,NA,Career,NA,NA,West Virginia,NA,2,NA,NA,-327,-3,NA,NA,NA,NA,Career
Jason Campbell,53,90,9.422222222,NA,8.3,NA,552,NA,NA,NA,NA,NA,NA,,NA,NA,24,NA,NA,854,NA,64.6,45,7299,8.5,jason-campbell-1,249,54,QB,NA,148.2,NA,NA,NA,NA,249,9,307,1.2,9,NA,NA,Career,NA,NA,Auburn,NA,9,NA,NA,307,1.2,NA,NA,NA,NA,Career
David Carr,48,94,8.170212766,NA,8.6,NA,565,NA,NA,NA,NA,NA,NA,,NA,NA,22,NA,NA,901,NA,62.7,65,7458,8.3,david-carr-1,177,54,QB,NA,151.2,NA,NA,NA,NA,177,9,95,0.5,9,NA,NA,Career,NA,NA,Fresno State,NA,9,NA,NA,95,0.5,NA,NA,NA,NA,Career
Derek Carr,61,94,10.38297872,Career,8.6,1,1087,0,0,0,0,NA,NA,3-Jun,0,0,24,0,NA,1630,0,66.7,113,12843,7.9,derek-carr-1,165,30,QB,0,152.8,0,-1,-1,1,164,5,190,1.2,5,0,NA,Career,2,0,Fresno State,3,5,NA,218,189,1.1,NA,0,NA,NA,NA
Matt Cassel,51,108,7.555555556,NA,4.5,NA,20,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,33,NA,60.6,0,192,5.8,matt-cassel-1,12,NA,QB,NA,103.4,0,12,12,1,11,0,32,2.9,0,NA,NA,Career,NA,NA,USC,NA,NA,NA,NA,44,3.7,NA,NA,NA,NA,Career
Danny Clark,49,168,4.666666667,Career,NA,NA,NA,0,0,NA,NA,NA,NA,2-Jun,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,danny-clark-3,2,6,QB,0,NA,0,0,NA,0,2,1,4,2,1,NA,NA,Career,NA,NA,Kentucky,NA,1,NA,230,4,2,NA,NA,NA,NA,NA
Jimmy Clausen,3,22,2.181818182,Career,7.3,0,695,NA,NA,NA,NA,NA,NA,,0,0,27,NA,NA,1110,NA,62.6,60,8148,7.3,jimmy-clausen-1,175,30,QB,NA,137.2,NA,NA,NA,NA,175,5,-355,-2,5,0,NA,Career,1,0,Notre Dame,1,5,NA,NA,-355,-2,NA,0,NA,NA,NA
Kellen Clemens,10,64,2.5,NA,7.7,0,613,NA,NA,NA,NA,NA,NA,,0,0,24,NA,NA,1005,NA,61,61,7555,7.5,kellen-clemens-1,274,36,QB,NA,139.4,0,13,13,1,273,6,535,2,6,0,NA,Career,1,0,Oregon,1,6,NA,NA,548,2,NA,0,NA,NA,Career
Kirk Cousins,69,93,11.87096774,Career,8.1,1,723,NA,NA,0,0,NA,NA,,0,0,30,NA,NA,1128,0,64.1,66,9131,8.1,kirk-cousins-1,112,6,QB,NA,146.1,0,2,2,1,111,1,-127,-1.1,1,0,NA,Career,3,0,Michigan State,4,1,NA,NA,-125,-1.1,NA,0,NA,NA,NA
Brodie Croyle,2,18,1.777777778,NA,7.1,NA,488,NA,NA,NA,NA,NA,NA,,NA,NA,22,NA,NA,869,NA,56.2,41,6382,7.3,brodie-croyle-1,183,24,QB,NA,128.4,NA,NA,NA,NA,183,4,-177,-1,4,NA,NA,Career,NA,NA,Alabama,NA,4,NA,NA,-177,-1,NA,NA,NA,NA,Career
