"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Ameer Abdullah",13,58,3.58620689655172,"Career",0,0,0,0,0,0,0,NA,NA,"9-May",0,0,0,1,NA,1,0,0,0,0,0,"ameer-abdullah-1",886,288,"RB",1,0,7,690,9.5,73,813,39,4588,5.6,46,0,NA,"Career",1,0,"Nebraska",1,48,NA,195,5278,6,NA,0,NA,NA,NA
"2","Josh Adams",3,17,2.82352941176471,"Career",NA,0,NA,NA,NA,NA,NA,NA,NA,"1-Jun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"josh-adams-1",630,138,"RB",NA,NA,1,611,7.2,85,545,22,2212,4.1,23,0,NA,"Career",2,0,"Wake Forest",2,23,NA,212,2823,4.5,NA,0,NA,NA,NA
"3","Joseph Addai",54,78,11.0769230769231,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"joseph-addai-1",556,144,"RB",NA,NA,6,641,9.7,66,490,18,2576,5.3,24,0,NA,"Career",0,0,"LSU",1,24,NA,NA,3217,5.8,NA,0,NA,NA,"Career"
"4","Jay Ajayi",20,45,7.11111111111111,"Career",NA,0,NA,0,0,0,0,NA,NA,"Jun-00",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"jay-ajayi-1",751,330,"RB",0,NA,5,771,10.6,73,678,50,3796,5.6,55,0,NA,"Career",2,1,"Boise State",2,55,NA,216,4567,6.1,NA,0,NA,NA,NA
"5","Shaun Alexander",79,123,10.2764227642276,NA,0,NA,0,NA,NA,NA,NA,NA,NA,"",NA,NA,0,1,NA,2,NA,0,0,0,0,"shaun-alexander-1",789,300,"RB",NA,0,8,798,12.9,62,727,41,3565,4.9,49,NA,NA,"Career",NA,NA,"Alabama",NA,50,NA,NA,4363,5.5,NA,NA,NA,NA,"Career"
"6","Anthony Allen",1,21,0.761904761904762,"Career",NA,4,NA,0,0,0,0,0,NA,"",0,0,NA,0,0,NA,0,NA,NA,NA,NA,"anthony-allen-1",579,228,"RB",0,NA,5,401,12.2,33,546,33,3036,5.6,38,0,0,"Career",5,0,"Overall",9,38,0,NA,3437,5.9,0,0,NA,NA,NA
"7","Armando Allen",1,17,0.941176470588235,"Career",12.7,1,3,NA,NA,NA,NA,NA,NA,"",0,0,0,1,NA,3,NA,100,1,18,6,"armando-allen-1",588,72,"RB",0,260.4,3,833,7,119,469,8,2144,4.6,11,0,NA,"Career",2,0,"Notre Dame",3,12,NA,NA,2977,5.1,NA,0,NA,NA,NA
"8","Javorius Allen",14,64,3.5,"Career",NA,2,NA,0,0,0,0,NA,NA,"1-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"javorius-allen-1",480,162,"RB",0,NA,2,710,11.3,63,417,25,2306,5.5,27,0,NA,"Career",0,0,"USC",2,27,NA,220,3016,6.3,NA,0,NA,NA,NA
"9","C.J. Anderson",28,71,6.30985915492958,"Career",0,1,0,NA,NA,0,0,NA,NA,"",0,0,0,0,NA,1,0,0,0,0,0,"cj-anderson-1",220,84,"RB",NA,0,2,350,15.9,22,198,12,1135,5.7,14,0,NA,"Career",0,0,"California",1,14,NA,NA,1485,6.8,NA,0,NA,NA,NA
"10","Deon Anderson",1,39,0.41025641025641,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"deon-anderson-1",162,24,"RB",NA,NA,3,394,8.2,48,114,1,420,3.7,4,0,NA,"Career",5,0,"Connecticut",9,4,NA,NA,814,5,NA,0,NA,NA,"Career"
"11","Antonio Andrews",4,34,1.88235294117647,"Career",37,1,1,0,0,0,0,NA,NA,"Jun-00",0,0,0,0,NA,1,0,100,0,37,37,"antonio-andrews-1",703,198,"RB",1,410.8,3,963,11.3,85,618,29,3674,5.9,32,0,NA,"Career",3,0,"Western Kentucky",4,33,NA,211,4637,6.6,NA,0,NA,NA,NA
