name,approximate_value,games.x,AVp16,X1,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games.y,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year,X
Ameer Abdullah,13,58,3.5862068965517206,Career,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9-May,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,ameer-abdullah-1,886.0,288.0,RB,1.0,0.0,7.0,690.0,9.5,73.0,813.0,39.0,4588.0,5.6,46.0,0.0,,Career,1.0,0.0,Nebraska,1.0,48.0,,195.0,5278.0,6.0,,0.0,,,
Josh Adams,3,17,2.82352941176471,Career,,0.0,,,,,,,,1-Jun,0.0,0.0,,,,,,,,,,josh-adams-1,630.0,138.0,RB,,,1.0,611.0,7.2,85.0,545.0,22.0,2212.0,4.1,23.0,0.0,,Career,2.0,0.0,Wake Forest,2.0,23.0,,212.0,2823.0,4.5,,0.0,,,
Joseph Addai,54,78,11.076923076923098,,,1.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,joseph-addai-1,556.0,144.0,RB,,,6.0,641.0,9.7,66.0,490.0,18.0,2576.0,5.3,24.0,0.0,,Career,0.0,0.0,LSU,1.0,24.0,,,3217.0,5.8,,0.0,,,Career
Jay Ajayi,20,45,7.111111111111111,Career,,0.0,,0.0,0.0,0.0,0.0,,,Jun-00,0.0,0.0,,0.0,,,0.0,,,,,jay-ajayi-1,751.0,330.0,RB,0.0,,5.0,771.0,10.6,73.0,678.0,50.0,3796.0,5.6,55.0,0.0,,Career,2.0,1.0,Boise State,2.0,55.0,,216.0,4567.0,6.1,,0.0,,,
Shaun Alexander,79,123,10.2764227642276,,0.0,,0.0,,,,,,,,,,0.0,1.0,,2.0,,0.0,0.0,0.0,0.0,shaun-alexander-1,789.0,300.0,RB,,0.0,8.0,798.0,12.9,62.0,727.0,41.0,3565.0,4.9,49.0,,,Career,,,Alabama,,50.0,,,4363.0,5.5,,,,,Career
Anthony Allen,1,21,0.7619047619047621,Career,,4.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,,anthony-allen-1,579.0,228.0,RB,0.0,,5.0,401.0,12.2,33.0,546.0,33.0,3036.0,5.6,38.0,0.0,0.0,Career,5.0,0.0,Overall,9.0,38.0,0.0,,3437.0,5.9,0.0,0.0,,,
Armando Allen,1,17,0.941176470588235,Career,12.7,1.0,3.0,,,,,,,,0.0,0.0,0.0,1.0,,3.0,,100.0,1.0,18.0,6.0,armando-allen-1,588.0,72.0,RB,0.0,260.4,3.0,833.0,7.0,119.0,469.0,8.0,2144.0,4.6,11.0,0.0,,Career,2.0,0.0,Notre Dame,3.0,12.0,,,2977.0,5.1,,0.0,,,
Javorius Allen,14,64,3.5,Career,,2.0,,0.0,0.0,0.0,0.0,,,1-Jun,0.0,0.0,,0.0,,,0.0,,,,,javorius-allen-1,480.0,162.0,RB,0.0,,2.0,710.0,11.3,63.0,417.0,25.0,2306.0,5.5,27.0,0.0,,Career,0.0,0.0,USC,2.0,27.0,,220.0,3016.0,6.3,,0.0,,,
C.J. Anderson,28,71,6.30985915492958,Career,0.0,1.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,cj-anderson-1,220.0,84.0,RB,,0.0,2.0,350.0,15.9,22.0,198.0,12.0,1135.0,5.7,14.0,0.0,,Career,0.0,0.0,California,1.0,14.0,,,1485.0,6.8,,0.0,,,
Deon Anderson,1,39,0.41025641025640996,,,4.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,deon-anderson-1,162.0,24.0,RB,,,3.0,394.0,8.2,48.0,114.0,1.0,420.0,3.7,4.0,0.0,,Career,5.0,0.0,Connecticut,9.0,4.0,,,814.0,5.0,,0.0,,,Career
Antonio Andrews,4,34,1.88235294117647,Career,37.0,1.0,1.0,0.0,0.0,0.0,0.0,,,Jun-00,0.0,0.0,0.0,0.0,,1.0,0.0,100.0,0.0,37.0,37.0,antonio-andrews-1,703.0,198.0,RB,1.0,410.8,3.0,963.0,11.3,85.0,618.0,29.0,3674.0,5.9,32.0,0.0,,Career,3.0,0.0,Western Kentucky,4.0,33.0,,211.0,4637.0,6.6,,0.0,,,
Dri Archer,0,20,0.0,Career,44.0,0.0,1.0,0.0,0.0,0.0,0.0,,,8-May,0.0,0.0,0.0,4.0,,1.0,0.0,100.0,1.0,24.0,24.0,dri-archer-1,424.0,240.0,RB,0.0,631.6,12.0,1194.0,12.1,99.0,325.0,24.0,2342.0,7.2,36.0,0.0,,Career,3.0,0.0,Kent State,3.0,40.0,,175.0,3536.0,8.3,,0.0,,,
J.J. Arrington,12,58,3.31034482758621,,,,,,,,,,,,,,,0.0,,,,,,,,jj-arrington-1,438.0,138.0,RB,,,3.0,299.0,7.1,42.0,396.0,20.0,2625.0,6.6,23.0,,,Career,,,California,,23.0,,,2924.0,6.7,,,,,Career
Cameron Artis-Payne,5,32,2.5,Career,,0.0,,0.0,0.0,0.0,0.0,,,11-May,0.0,0.0,,0.0,,,0.0,,,,,cameron-artis-payne-1,408.0,114.0,RB,0.0,,0.0,151.0,10.8,14.0,394.0,19.0,2218.0,5.6,19.0,0.0,,Career,1.0,0.0,Auburn,1.0,19.0,,210.0,2369.0,5.8,,0.0,,,
Matt Asiata,14,74,3.02702702702703,Career,19.0,1.0,2.0,,,,,,,,0.0,0.0,0.0,,,4.0,,50.0,2.0,36.0,9.0,matt-asiata-1,433.0,156.0,RB,,290.6,2.0,394.0,7.3,54.0,379.0,24.0,1748.0,4.6,26.0,0.0,,Career,2.0,0.0,Utah,3.0,26.0,,,2142.0,4.9,,0.0,,,
B.J. Askew,4,83,0.771084337349398,,,,,,,,,,,,,,,0.0,,,,,,,,bj-askew-1,412.0,126.0,RB,,,4.0,728.0,9.3,78.0,334.0,17.0,1509.0,4.5,21.0,,,Career,,,Michigan,,21.0,,,2237.0,5.4,,,,,Career
Kalen Ballage,3,24,2.0,Career,12.5,1.0,3.0,0.0,0.0,0.0,0.0,,,3-Jun,0.0,0.0,0.0,0.0,,4.0,0.0,75.0,1.0,30.0,7.5,kalen-ballage-1,532.0,178.0,RB,0.0,220.5,2.0,684.0,8.3,82.0,450.0,27.0,1984.0,4.4,29.0,0.0,,Career,0.0,0.0,Arizona State,1.0,29.0,2.0,230.0,2668.0,5.0,,0.0,,,
Lance Ball,7,42,2.6666666666666696,Career,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,lance-ball-1,596.0,156.0,RB,,,0.0,301.0,6.4,47.0,549.0,26.0,2487.0,4.5,26.0,0.0,,Career,2.0,0.0,Maryland,2.0,26.0,,,2788.0,4.7,,0.0,,,
Montee Ball,8,21,6.09523809523809,Career,38.5,1.0,2.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,2.0,0.0,100.0,1.0,57.0,28.5,montee-ball-1,983.0,498.0,RB,,504.4,6.0,598.0,10.1,59.0,924.0,77.0,5140.0,5.6,83.0,0.0,,Career,1.0,0.0,Wisconsin,2.0,83.0,,,5738.0,5.8,,0.0,,,
Vick Ballard,5,17,4.70588235294118,Career,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,vick-ballard-1,409.0,186.0,RB,,,2.0,293.0,9.8,30.0,379.0,29.0,2157.0,5.7,31.0,0.0,,Career,1.0,0.0,Mississippi State,1.0,31.0,,,2450.0,6.0,,0.0,,,
Joe Banyard,1,27,0.592592592592593,Career,,13.0,,,,,,,,,0.0,0.0,,0.0,,,,,,,,joe-banyard-1,265.0,84.0,RB,,,0.0,174.0,6.0,29.0,236.0,14.0,1455.0,6.2,14.0,0.0,,Career,11.0,0.0,UTEP,24.0,14.0,,,1629.0,6.1,,0.0,,,
Peyton Barber,13,63,3.3015873015872996,Career,,0.0,,0.0,0.0,0.0,0.0,,,11-May,0.0,0.0,,0.0,,,0.0,,,,,peyton-barber-1,259.0,78.0,RB,0.0,,0.0,112.0,10.2,11.0,248.0,13.0,1071.0,4.3,13.0,0.0,,Career,2.0,0.0,Auburn,2.0,13.0,,225.0,1183.0,4.6,,0.0,,,
