"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Andrew Adams",13,57,3.64912280701754,"Career",NA,102,NA,NA,NA,1,2,0,NA,"10-May",9,0,NA,NA,NA,NA,15,NA,NA,NA,NA,"andrew-adams-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",160,6.5,"Connecticut",262,NA,NA,221,NA,NA,0,114,12.7,NA,NA
"2","Jamal Adams",29,46,10.0869565217391,"Career",NA,81,NA,NA,NA,2,2,NA,NA,"1-Jun",5,0,NA,NA,NA,NA,14,NA,NA,NA,NA,"jamal-adams-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,"Career",128,18,"LSU",209,NA,NA,211,NA,NA,NA,30,6,NA,NA
"3","Maurice Alexander",13,57,3.64912280701754,"Career",NA,58,NA,NA,NA,1,1,NA,NA,"Jun-00",1,0,NA,NA,NA,NA,6,NA,NA,NA,NA,"maurice-alexander-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,"Career",66,16,"Utah State",124,NA,NA,175,NA,NA,NA,3,3,NA,NA
"4","Adrian Amos",27,76,5.68421052631579,"Career",NA,47,NA,NA,NA,0,0,NA,NA,"Jun-00",7,0,NA,NA,NA,NA,15,NA,NA,NA,NA,"adrian-amos-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,"Career",101,9,"Penn State",148,NA,NA,209,NA,NA,NA,135,19.3,NA,NA
"5","Troy Apke",1,17,0.941176470588235,"Career",NA,17,NA,NA,NA,0,0,NA,NA,"1-Jun",1,0,NA,NA,NA,NA,4,NA,NA,NA,NA,"tony-apke-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",37,3,"Penn State",54,NA,NA,200,NA,NA,NA,1,1,NA,NA
"6","Vonn Bell",16,61,4.19672131147541,"Career",NA,60,NA,0,0,0,2,1,NA,"11-May",9,1,NA,0,0,NA,15,NA,NA,NA,NA,"vonn-bell-2",NA,12,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",115,4,"Ohio State",175,2,NA,205,NA,NA,14,49,5.4,NA,NA
"7","Tre Boston",26,88,4.72727272727273,"Career",NA,112,NA,0,0,1,1,NA,NA,"1-Jun",13,1,NA,0,NA,NA,12,NA,NA,NA,NA,"tre-boston-1",NA,6,"S",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",170,8,"North Carolina",282,1,NA,205,NA,NA,NA,79,6.1,NA,NA
"8","Kentrell Brice",6,36,2.66666666666667,"Career",NA,56,NA,NA,NA,4,3,0,NA,"11-May",3,0,NA,NA,NA,NA,13,NA,NA,NA,NA,"kentrell-brice-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,"Career",154,8.5,"Louisiana Tech",210,NA,NA,197,NA,NA,0,13,4.3,NA,NA
"9","Deone Bucannon",29,84,5.52380952380952,"Career",NA,109,NA,NA,NA,4,2,NA,NA,"1-Jun",15,0,NA,NA,NA,NA,9,NA,NA,NA,NA,"deone-bucannon-1",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"Career",254,12.5,"Washington State",363,NA,NA,215,NA,NA,NA,170,11.3,NA,NA
"10","Kevin Byard",31,64,7.75,"Career",NA,122,NA,0,0,3,1,NA,NA,"11-May",19,4,NA,0,NA,NA,15,NA,NA,NA,NA,"kevin-byard-1",NA,30,"S",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",196,6,"Middle Tennessee State",318,5,NA,226,NA,NA,NA,377,19.8,NA,NA
