"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Jerell Adams",2,30,1.06666666666667,"Career",NA,1,NA,0,0,0,0,NA,NA,"6-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"jerell-adams-1",NA,42,"TE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",7,0,"South Carolina",8,7,NA,231,NA,NA,NA,0,NA,NA,NA
"2","Kyle Adams",0,29,0,"Career",NA,1,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"kyle-adams-1",NA,18,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",7,0,"Purdue",8,3,NA,NA,NA,NA,NA,0,NA,NA,NA
"3","Jordan Akins",6,32,3,"Career",NA,0,NA,0,0,0,0,NA,NA,"3-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"jordan-akins-1",NA,48,"TE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"UCF",1,8,NA,249,NA,NA,NA,0,NA,NA,NA
"4","Chase Allen",4,21,3.04761904761905,"Career",NA,0,NA,0,0,0,0,NA,NA,"7-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"chase-allen-1",NA,12,"TE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Iowa State",2,2,NA,245,NA,NA,NA,0,NA,NA,NA
"5","Dwayne Allen",13,86,2.41860465116279,"Career",NA,2,NA,NA,NA,0,0,NA,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"dwayne-allen-1",NA,72,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",3,0,"Clemson",5,12,NA,NA,NA,NA,NA,0,NA,NA,NA
"6","Jace Amaro",4,17,3.76470588235294,"Career",NA,0,NA,0,0,0,0,NA,NA,"5-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"jace-amaro-1",NA,78,"TE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"Texas Tech",4,13,NA,260,NA,NA,NA,0,NA,NA,NA
"7","Colt Anderson",7,84,1.33333333333333,"2011",NA,2,NA,NA,NA,0,1,NA,13,"",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"colt-anderson-1",NA,6,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"2011",2,0,"Florida International",4,1,NA,NA,NA,NA,NA,0,NA,NA,NA
"8","Mark Andrews",17,31,8.7741935483871,"Career",NA,NA,NA,0,0,NA,NA,NA,NA,"5-Jun",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"mark-andrews-1",NA,134,"TE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Oklahoma",NA,22,1,254,NA,NA,NA,NA,NA,NA,NA
"9","Billy Bajema",2,120,0.266666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"billy-bajema-1",NA,24,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Oklahoma State",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"10","Jake Ballard",6,23,4.17391304347826,"Career",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jake-ballard-1",NA,18,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Ohio State",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Gary Barnidge",16,124,2.06451612903226,"Career",NA,1,NA,NA,NA,NA,NA,1,NA,"",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"gary-barnidge-1",NA,108,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",9,0,"Louisville",10,18,NA,NA,NA,NA,0,0,NA,NA,NA
"12","Anthony Becht",14,167,1.34131736526946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"anthony-becht-1",NA,66,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"West Virginia",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"13","Travis Beckum",2,48,0.666666666666667,"Career",NA,2,NA,0,0,0,0,0,NA,"",0,0,NA,0,0,NA,0,NA,NA,NA,NA,"travis-beckum-1",NA,66,"TE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Career",4,1,"Wisconsin",6,11,0,NA,NA,NA,0,0,NA,NA,NA
"14","Blake Bell",3,65,0.738461538461539,"Career",6.8,NA,150,0,0,NA,NA,NA,NA,"6-Jun",NA,NA,6,0,NA,253,NA,59.3,12,1763,7,"blake-bell-1",197,168,"TE",0,128.7,4,214,13.4,16,181,24,631,3.5,28,NA,NA,"Career",NA,NA,"Oklahoma",NA,28,NA,252,845,4.3,NA,NA,NA,NA,NA
"15","Martellus Bennett",41,144,4.55555555555556,"Career",NA,2,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"martellus-bennett-1",NA,60,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Texas A&M",3,10,NA,NA,NA,NA,NA,0,NA,NA,NA
"16","Beau Brinkley",8,128,1,"Career",NA,7,NA,NA,NA,0,0,0,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"beau-brinkley-1",NA,NA,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",5,0,"Missouri",12,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"17","Kevin Brock",0,24,0,"Career",NA,1,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kevin-brock-1",NA,24,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",3,0,"Rutgers",4,4,NA,NA,NA,NA,NA,0,NA,NA,NA
"18","Richie Brockel",0,49,0,"Career",NA,1,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"richie-brockel-1",NA,60,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"Boise State",5,10,NA,NA,NA,NA,NA,0,NA,NA,NA
"19","Nate Byham",0,29,0,"Career",NA,0,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"nate-byham-1",NA,18,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Pitt",2,3,NA,NA,NA,NA,NA,0,NA,NA,NA
"20","Dominique Byrd",0,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dominique-byrd-1",NA,24,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"USC",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"21","Jordan Cameron",14,66,3.39393939393939,"Career",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jordan-cameron-1",NA,6,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"USC",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Mark Campbell",12,111,1.72972972972973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"mark-campbell-2",NA,6,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Michigan",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"23","John Carlson",17,90,3.02222222222222,"Career",NA,8,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"john-carlson-1",NA,48,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",15,0,"Notre Dame",23,8,NA,NA,NA,NA,NA,0,NA,NA,NA
"24","Cethan Carter",0,31,0,"Career",NA,0,NA,0,0,0,0,NA,NA,"3-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"cethan-carter-1",NA,30,"TE",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Nebraska",2,5,NA,241,NA,NA,NA,0,NA,NA,NA
"25","David Carter",5,35,2.28571428571429,"Career",NA,0,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"david-carter-1",NA,30,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Ohio",1,5,NA,NA,NA,NA,NA,0,NA,NA,NA
"26","James Casey",7,95,1.17894736842105,"Career",2.7,1,4,NA,NA,NA,NA,NA,NA,"",0,0,1,NA,NA,12,NA,33.3,2,37,3.1,"james-casey-1",NA,168,"TE",0,97.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,"Career",2,1.5,"Rice",3,28,NA,NA,NA,NA,NA,0,NA,NA,NA
"27","Brent Celek",41,175,3.74857142857143,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"brent-celek-1",NA,84,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"Cincinnati",4,14,NA,NA,NA,NA,NA,0,NA,NA,"Career"
"28","Garrett Celek",8,91,1.40659340659341,"Career",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"garrett-celek-1",NA,18,"TE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Michigan State",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
