"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Jared Abbrederis",1,21,0.761904761904762,"Career",27,1,1,0,0,0,0,NA,NA,"2-Jun",0,0,0,0,NA,1,0,100,0,27,27,"jared-abbrederis-1",NA,156,"WR",1,326.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Wisconsin",2,26,NA,190,NA,NA,NA,0,NA,NA,NA
"2","Davante Adams",46,86,8.55813953488372,"Career",NA,0,NA,0,0,0,1,NA,NA,"2-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"davante-adams-1",NA,228,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Fresno State",1,38,NA,212,NA,NA,NA,0,NA,NA,NA
"3","Nelson Agholor",22,71,4.95774647887324,"Career",NA,2,NA,0,0,0,0,NA,NA,"1-Jun",0,0,NA,0,NA,NA,1,NA,NA,NA,NA,"nelson-agholor-1",NA,144,"WR",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",4,0,"USC",6,24,NA,190,NA,NA,NA,0,NA,NA,NA
"4","Kamar Aiken",12,71,2.70422535211268,"Career",NA,0,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"kamar-aiken-1",NA,102,"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",8,0,"UCF",8,17,NA,NA,NA,NA,NA,0,NA,NA,NA
"5","Sam Aiken",7,95,1.17894736842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,"sam-aiken-1",NA,90,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"North Carolina",NA,15,NA,NA,NA,NA,NA,NA,NA,NA,"Career"
"6","Seyi Ajirotutu",4,70,0.914285714285714,"Career",NA,1,NA,NA,NA,NA,NA,1,NA,"",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seyi-ajirotutu-1",NA,84,"WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",7,0,"Fresno State",8,14,NA,NA,NA,NA,0,0,NA,NA,NA
"7","Danario Alexander",9,28,5.14285714285714,"Career",20,0,1,NA,NA,NA,NA,NA,NA,"",0,0,0,NA,NA,3,NA,33.3,1,40,13.3,"danario-alexander-1",NA,132,"WR",NA,255.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Missouri",2,22,NA,NA,NA,NA,NA,0,NA,NA,NA
"8","Keenan Allen",56,86,10.4186046511628,"Career",24,0,3,NA,NA,0,0,NA,NA,"",0,0,0,0,NA,3,0,100,1,52,17.3,"keenan-allen-1",NA,120,"WR",1,355.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",7,0,"California",7,20,NA,NA,NA,NA,NA,0,NA,NA,NA
"9","Aundrae Allison",3,26,1.84615384615385,NA,23.8,0,2,NA,NA,NA,NA,NA,NA,"",0,0,0,NA,NA,4,NA,50,1,75,18.8,"aundrae-allison-1",NA,66,"WR",0,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"East Carolina",2,11,NA,NA,NA,NA,NA,0,NA,NA,"Career"
"10","Geronimo Allison",9,46,3.1304347826087,"Career",-45,NA,0,0,0,NA,NA,NA,NA,"4-Jun",NA,NA,1,0,NA,1,NA,0,0,0,0,"geronimo-allison-1",NA,48,"WR",0,-200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Illinois",NA,8,NA,200,NA,NA,NA,NA,NA,NA,NA
"11","Danny Amendola",47,141,5.33333333333333,"Career",NA,0,NA,NA,NA,NA,NA,NA,NA,"",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,"danny-amendola-1",NA,96,"WR",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Texas Tech",2,16,NA,NA,NA,NA,NA,0,NA,NA,NA
"12","David Anderson",8,67,1.91044776119403,NA,27,1,1,NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,2,NA,50,1,34,17,"david-anderson-1",NA,120,"WR",0,357.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",0,0,"Colorado State",1,20,NA,NA,NA,NA,NA,0,NA,NA,"Career"
"13","Robby Anderson",22,62,5.67741935483871,"Career",NA,1,NA,0,0,0,0,NA,NA,"3-Jun",0,0,NA,0,NA,NA,0,NA,NA,NA,NA,"robby-anderson-1",NA,96,"WR",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",2,0,"Temple",3,16,NA,190,NA,NA,NA,0,NA,NA,NA
