"","name","approximate_value","games.x","AVp16","X1","adjusted_yards_per_attempt","assists_on_tackles","completed_passes","extra_points_made","field_goals_made","fumbles_forced","fumbles_recovered","fumbles_recovered_for_touchdown","games.y","height","interceptions","interceptions_returned_for_touchdown","interceptions_thrown","kickoff_return_touchdowns","other_touchdowns","pass_attempts","passes_defended","passing_completion","passing_touchdowns","passing_yards","passing_yards_per_attempt","player_id","plays_from_scrimmage","points","position","punt_return_touchdowns","quarterback_rating","receiving_touchdowns","receiving_yards","receiving_yards_per_reception","receptions","rush_attempts","rush_touchdowns","rush_yards","rush_yards_per_attempt","rushing_and_receiving_touchdowns","sacks","safeties","season","solo_tackles","tackles_for_loss","team_abbreviation","total_tackles","total_touchdowns","two_point_conversions","weight","yards_from_scrimmage","yards_from_scrimmage_per_play","yards_recovered_from_fumble","yards_returned_from_interceptions","yards_returned_per_interception","year","X"
"1","Jared Abbrederis",1,21,0.761904761904762,"Career",27,1,1,0,0,0,0,NA,NA,"2-Jun",0,0,0,0,NA,1,0,100,0,27,27,"jared-abbrederis-1",NA,156,"WR",1,326.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Wisconsin",2,26,NA,190,NA,NA,NA,0,NA,NA,NA
"2","Ameer Abdullah",13,58,3.58620689655172,"Career",0,0,0,0,0,0,0,NA,NA,"9-May",0,0,0,1,NA,1,0,0,0,0,0,"ameer-abdullah-1",886,288,"RB",1,0,7,690,9.5,73,813,39,4588,5.6,46,0,NA,"Career",1,0,"Nebraska",1,48,NA,195,5278,6,NA,0,NA,NA,NA
"3","Hamza Abdullah",5,48,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hamza-abdullah-1",NA,NA,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Career",NA,NA,"Washington State",NA,NA,NA,NA,NA,NA,NA,3,3,NA,"Career"
"4","Husain Abdullah",21,97,3.4639175257732,"Career",NA,80,NA,NA,NA,NA,NA,NA,NA,"",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"husain-abdullah-1",NA,6,"DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",133,11,"Washington State",213,1,NA,NA,NA,NA,NA,172,17.2,NA,NA
"5","Isa Abdul-Quddus",15,89,2.69662921348315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Victor Abiamiri",5,29,2.75862068965517,NA,NA,31,NA,NA,NA,3,0,0,NA,"",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,"victor-abiamiri-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,"Career",59,30.5,"Notre Dame",90,NA,NA,NA,NA,NA,0,NA,NA,NA,"Career"
"7","Oday Aboushi",14,49,4.57142857142857,"Career",NA,1,NA,NA,NA,0,0,0,NA,"",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"oday-aboushi-1",NA,NA,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"Career",1,0,"Virginia",2,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"8","John Abraham",117,192,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Emmanuel Acho",2,20,1.6,"Career",NA,98,NA,0,0,2,0,0,NA,"",2,1,NA,0,0,NA,6,NA,NA,NA,NA,"emmanuel-acho-1",NA,6,"LB",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,0,"Career",142,32.5,"Texas",240,1,0,NA,NA,NA,0,70,35,NA,NA
"10","Sam Acho",34,110,4.94545454545455,"Career",NA,44,NA,NA,NA,8,0,0,NA,"",NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,"sam-acho-1",NA,NA,"DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,"Career",93,32.5,"Texas",137,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
